A: 	oké 
A: 	aan helemaal aan het midden van het kop hebben je best wel langvormig ovaal 
A: 	dus dat zijn het enig wat er bovenop zitten 
A: 	dan hebben je dat zelfde vormp zitten ook aan de linkerkant 
A: 	en aan de rechterkant zitten verschillend blok tegen elkaar aan 
A: 	dat zullen heel goed kunnen 
B: 	een blok 
B: 	okee ja ja dus dus de blok het zijn uiteindelijk eigenlijk vrij vrij groot vrij groot blok zijn het 
B: 	okee ja 
B: 	en dan zitten er nog iets aan de achterkant 
B: 	een een soort buis 
B: 	ja okee dan zijn het c 
A: 	ja 
A: 	ah met veel blok 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	deze hebben dezelfde soort zelfde kegel als die we net omschrijven 
B: 	hebben die alleen dan wat groot recht in het midden 
B: 	aan de zijkant een wat aflopen blok zoals je hem net omschreef 
B: 	kunnen je nog herinneren 
B: 	okee en en 
B: 	ja en aan de voorkant 
B: 	ja en aan de zijkant zo'n zo'n 
B: 	ja zo'n 
B: 	ja 
B: 	ja 
A: 	dan weten we dat nu 
A: 	een kop weer natuurlijk 
A: 	en dan hebben je daar bovenkant een ovaal uitstulpsel echt in het midden 
A: 	en dan aan de rechterkant hebben je allemaal vierkant die steeds groot worden 
A: 	en aan de linkerkant hebben je eigenlijk ook een ovaal en nog iets wat naar achter lopen 
A: 	even kijken ik weten wat je bedoelen maar 
A: 	waar staan hij 
A: 	ja 
A: 	nummer vijf 
B: 	ja ja ja ja en aan de achterkant die kromme die buis 
B: 	ja dat zijn d 
B: 	dit zijn met dat aflopen blok aan de zijkan 
B: 	rechterzijkant 
B: 	en een kegel bovenop 
B: 	ja en dan die komma 
B: 	ja 
B: 	ja 
A: 	deze hebben rechtop op het kop een ovaal vorm , aan de rechterkant een soort die blok die steeds groot worden , en link hebben hij ook nog twee uitstulpsel 
A: 	kijken ovaal vorm op het kop 
A: 	even kijken één schroef aan de , ja , nummer vier 
B: 	ja maken niet uit 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn e 
B: 	even deze hebben die kegel bovenop en aan de zijkant dat aflopen vierkant 
B: 	aan de linkerkant ook een 
B: 	ja okee 
