B: 	even loeren 
B: 	ja ik noemen dat de theepot maar 
A: 	nee deze vinden ik niet leuk 
A: 	deze kunnen ik niet hij hebben niks herkenbaar vinden ik 
A: 	hij hebben het zijn het zijn een een cup hij staan gewoon net 
A: 	en hij hebben twee uitsteeksel aan beide kant 
A: 	die die vrij op elkaar lijken één zijn iets lang één zijn iets kort met een bolle aan de uiteinde 
A: 	en dan hebben die een soort ja ik vinden het een zonnepaneel of zo aan de achterkant 
A: 	ja 
A: 	ja oké 
B: 	wat ik beschrijf als een theepot 
B: 	weten je die nog 
B: 	ja ja 
B: 	ja 
B: 	F 
A: 	ja 
A: 	ja 
A: 	en het zonnepaneel ja 
A: 	oké super nummer negen 
B: 	ik vinden dit dus een theepot 
B: 	of een gieter 
B: 	met die armp en die bollet eraan 
B: 	het lijken alsof 
B: 	ja 
B: 	het lijken alsof die aan één kant dus zeggen maar een soort van handvat hebben en dan met de ander kant zijn het een schenktuit 
A: 	ja 
A: 	ik hebben diegene met de de de zonnepaneel op de achterkant en die twee raar uitsteeksel die erdoorheen 
A: 	ja 
B: 	ja vinden L 
B: 	gieter of theepot 
B: 	bij mij staan 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	ah daar nummer drie 
A: 	ja 
A: 	ja de zonnepaneel en de raar arm 
A: 	de ongelijk arm 
A: 	ja de ongelijk ja 
A: 	ja ik zoeken hem 
A: 	ik hebben hem 
A: 	nummer vijf 
