B: 	zitten het ei ook net als bij die ander boven in het 
B: 	en dan aan dat balk zitten ook nog weer een rond 
B: 	oké 
B: 	en Bovenin steken er nog een soort lepeltje uit 
B: 	ja oké 
B: 	dan zijn dat F 
A: 	ik zijn nu 
A: 	oké ik natuurlijk een bekervormpje natuurlijk en dan aan de voorkant zitten er een een bal 
A: 	met een balk erdoorheen 
A: 	met aan de uitein aan de rechterkant een cirkel 
B: 	dit zijn een kop met zo'n ei erop en door dat ei een balk met nog een ronde schijf eraan en een lepeltje dat eruit steken 
A: 	jij drukken 
A: 	ja dat zijn vijf 
B: 	met die schijf ook weer aan 
B: 	ja dat zijn A 
B: 	dit zijn het kop met het ei erop de paal erdoor met die rond schijf eraan en het lepel dat er nog uit steken 
A: 	ja ik er zitten ik hebben een bal maar er zitten een balk doorheen 
A: 	bij dit kop 
A: 	ja 
B: 	ja dat zijn h 
A: 	ah ja 
A: 	dat zijn vijf 
B: 	bij deze zit weer dat ei ertegenaan met de balk erdoorheen en die schijf 
B: 	en het lepel 
A: 	oké ik hebben een een bol en er zitten een staafje doorheen 
A: 	met een cirkel eraan vast aan de rechterkant 
A: 	knobbel met de staaf waar het cirkel aan vastzitten 
A: 	knobbel met de staaf 
A: 	die ja 
A: 	ja dat zijn vijftien 
A: 	leuk 
A: 	een deel van mijn school heten zo 
A: 	ja 
