A: 	ja 
B: 	ik hebben in principe de basisvorm met daarboven met daarvoor een soort ei vormig object dan een gleuf 
A: 	ja dat zijn nummer veertien 
B: 	en twee uitsteeksel boven één balkje en één ja veel paalvormig met een ronde 
A: 	ja dit zijn die een waar jij zeggen dat er een penne in zat en het rechthoekje zeggen maar 
A: 	en het en het ballet eraan en dat Vvormig ding 
B: 	ja 
B: 	ja 
B: 	en er steken twee ding in 
B: 	en in principe dan een cilinder die naar voren lijken te gaan en dan een een vlak wat op zeggen maar een drie van de onderkant van de basisvorm zitten 
B: 	en dan een hoek in de linker 
B: 	ja 
B: 	even zien 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	nee ah wachten dan weten ik dat zijn bij mij nummer N 
A: 	en het V' 
A: 	ja dat zijn nummer negen 
B: 	ik hebben een soort eivormig voording zitten het lijken een beetje veel richting de ruimte het zijn iets veel 3D 
B: 	dan hebben je aan de linkerkant een soort gleuf 
B: 	driehoekig gleuf en dan een cilinderblok aan de rechterkant boven en dan ja dat dat lepeltjeachtig 
B: 	ja 
A: 	de pen en het staafje in het beker met het V'tje en de knop 
B: 	ja dat zijn nummer G bij mij 
A: 	en het rechthoekje ernaast 
A: 	nummer vijf 
B: 	ik hebben degeen met een rond voor 
B: 	een soort gleuf driehoekig gleuf en een cilindervormig of een balkje 
B: 	rechtsboven en dan linksonder een soort van dat ja Koffielepeltjeidee 
B: 	ja 
B: 	ja 
A: 	het koffiemokje met de pen en de staaf en het knobbelt 
B: 	ja 
B: 	even denken waar staan ? ja dat zijn bij mij J 
