B: 	je hebben dat bak en van de linkerkant komen twee soort van pijlt erin steken 
B: 	en hij hebben aan de voorkant een een vierkantje waarmee het lijken als je hem alsof je hem tegen de muur kunnen plakken 
B: 	en van de bovenkant staan er een spijker of een paddenstoel in 
B: 	oké 
A: 	ja 
A: 	van die laseroogjes 
A: 	dat zijn twee voor mij 
B: 	ja 
B: 	en hij lijken alsof je hem tegen de muur kunnen plakken 
B: 	ja 
B: 	letter G 
A: 	dit zijn die met link de groot worden vierkant en een soort ja wat zitten erin ? antenne bovenop 
A: 	groot vlak aan de voorkant 
A: 	ja 
B: 	hij lijken alsof je hem tegen de muur kunnen plakken 
B: 	hij hebben twee piercen ding en een paddenstoel 
A: 	en de blok yes dat zijn negen voor mij 
B: 	letter D 
A: 	groot worden vierkant links 
A: 	Antenne bovenop 
A: 	ja dat zijn één voor mij 
B: 	hij kunnen aan de muur plakken worden 
B: 	en hij hebben twee boor doorboren dinge 
A: 	dit zijn die met de vierkant plaat voorop en de groot worden vierkant links 
B: 	ja 
B: 	letter B 
