B: 	ik vinden dit op een dienblad lijken zeggen maar twee van die paalt zo 
B: 	ja ja 
B: 	B 
A: 	het zijn een soort van kruiwag zullen het kunnen zijn 
A: 	met aan de links kant een heel smal staafje wat zo omhooggaat 
A: 	of hebben je nu een ander 
A: 	hebben die een soort van omgekeerd piramide aan de rechts kant zitten zeggen maar ? de punt zien je daarvan niet 
A: 	ja 
A: 	ja ja het zijn een beetje alsof die twee punt die uit die stok kunnen komen alsof dat een soort van handvaet zullen kunnen zijn als je hem 3D wat veel bekijken 
A: 	ja ja ja ja ja ja 
A: 	en dan maar wat dan wel belangrijk zijn dat aan de zijkant zitten er dus zo'n soort van puntje omhoog zeggen maar 
A: 	ja link 
A: 	ja ik doen hem na maar ja 
A: 	aan de links kant zitten een soort van slurfje omhoog 
A: 	ja nee dan dan weten ik hem ja 
A: 	zijn zestien 
B: 	dit zijn dat dienblad met dat bak soep 
A: 	bij mij zijn het die een die ik waarvan jij denken we kunnen hem wegzetten ergens op ik denken dat het een kruiwagen zijn met twee van die handvat die je zo kunnen pakken 
A: 	met die piramide erin 
A: 	ja 
A: 	ja die kruiwag 
A: 	ja 
A: 	dat zijn nummer veertien bij mij 
B: 	ja vinden N 
B: 	het zijn het dienblad met zijn soep 
A: 	dit zijn die een met die kruiwag met die piramide die er ondersteboven op liggen zeggen maar 
A: 	ja de kruiwag 
A: 	waar staan die ? tien 
B: 	D 
A: 	de kruiwag met die piramide die erop liggen 
