A: 	oké 
A: 	ja dit zijn een dat beker staan op een een rechthoekig statiefje zeggen maar 
A: 	ik hebben het bij die ander als waterpomp omschrijven ik weten niet of dat ja even je hebben er nog één ander die erop lijken 
B: 	zijn dat het enig wat eraan gebeuren 
B: 	dus een soort eibolle 
A: 	ja je hebben er één een ander die erop lijken maar die staan op een driehoekje dat zijn hem niet 
B: 	ja 
B: 	ja 
A: 	en je hebben er één met een soort van tuitje dat zijn hem ook niet 
B: 	dan weten ik welk je bedoelen en dan dat balk rechtop 
B: 	ja dat zijn bij mij nummer D 
A: 	hij hebben zo'n balle op en twee handva aan de 
A: 	ja 
B: 	ik hebben een balk rechthoekig balk die voor de de basisvorm staan 
B: 	waarbij er aan de rechterkant een klein cilinder uit steken 
B: 	en aan de linkerkant een cilinder met een hoek erin en bovenop een bolle 
A: 	volgens mij verspringen ze ook telkens een beetje 
A: 	ja ja 
A: 	ja mijn waterpomp 
A: 	die hebben we al een keer hebben 
A: 	ja 
A: 	dat zijn nummer vijftien 
A: 	de waterpomp 
A: 	de staaf en het bollet bovenop 
B: 	ik weten het 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	de waterpomp 
A: 	nummer zes 
B: 	ik hebben degeen met een bolle bovenop 
B: 	een balkje voor en dan 
B: 	yes 
A: 	de waterpomp 
A: 	bolle bovenop en die staaf 
B: 	ja 
B: 	J zijn dat 
A: 	ja nummer drie 
B: 	ik hebben degeen met een balk voor een bolle boven veel aan de linkerkant en dan een lang uitsteeksel 
