B: 	o wachten waar staan hij 
B: 	ja zeggen maar zitten er aan de voorkant nog een staaf 
B: 	ja 
B: 	ja en twee van die armp bee 
B: 	ok dan zijn het d 
A: 	oké deze hebben eigenlijk een soort van een bal helemaal bovenaan 
A: 	en dan zitten er een een soort balk voor 
A: 	ja twee ongelijk dinget 
B: 	ok dit zijn weer dat zelfde soort van man met die twee arm die zo doen met zo'n balk ervoor 
B: 	met zo'n bolle erop 
B: 	ja 
A: 	ah 
A: 	ja 
A: 	oké dan zijn het nummer vijftien 
B: 	ja dat zijn L 
B: 	ok ja dat zijn dat man die zo doen 
B: 	ja 
A: 	dit zijn met die bal bovenop en die staaf aan de voorkant 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn dat man die zo doen 
A: 	even kijken 
A: 	ah dat zijn nummer zes 
A: 	dit zijn met die bal en die balk vooraan 
A: 	ja 
A: 	dat zijn nummer drie 
