B: 	hebben die bovenop een soort ja of vierkant maar dan kantelen 
B: 	ja met die blok weer in elkaar 
B: 	oké dan zijn het M 
A: 	oké ik hebben nu dat plaat met die twee ja aan de onderkant zitten een soort van uitstekend buigen 
A: 	buis en aan de rechterkant ook 
A: 	en aan de voorkant steken schuin naar voren een soort zeshoek 
A: 	en aan de bovenkant zien je twee plat ruit soort van en die worden dan doorkruist weer door zo'n kubus die steeds groot worden 
B: 	deze hebben zo'n dinge daaronder met een knikje 
B: 	en ja zo'n vierkant dat een beetje 
B: 	nee ja klopt 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	even zoeken 
B: 	dat zijn bij mij H 
B: 	deze zijn weer met dat dinge eronder zo 
A: 	dit zijn die een met die soort van twee ruit bovenop en dan aan elk ruit zo'n uitdijen kubus 
A: 	en onderaan en rechts zo'n staaf of ja zo'n buis die uitsteekken en ook nog een 
A: 	staaf aan de voorkant die zo naar rechtsvoor uitsteken 
B: 	dat zijn bij mij D 
B: 	met dat knikje onderaan 
A: 	ja met die uitdijen kubus zeggen maar 
A: 	ja dat zijn nummer elf 
A: 	deze hebben die twee 
A: 	ruit bovenop waar dan die uitdijen kubus aan beide kant uit steken en onder die buis en rechts die buis en dan nog dat staafje 
A: 	die uitsteken 
A: 	ja dat zijn nummer veertien 
