B: 	o wachten waar staan hij 
B: 	ja zeggen maar zitten er aan de voorkant nog een staaf 
B: 	ja 
B: 	ja en twee van die armp bee 
B: 	ok dan zijn het d 
A: 	oké het plaat wat ik nu gaan omschrijven zijn er één die hebben we eerder al benoemen een soort van twee arm en een paal er midden voor 
A: 	ja dat zijn hem 
A: 	ja kloppen 
B: 	ok dit zijn weer dat zelfde soort van man met die twee arm die zo doen met zo'n balk ervoor 
B: 	met zo'n bolle erop 
B: 	ja 
A: 	even zien 
A: 	ja dus de arm met de staaf recht ervoor en het soort ei boven op de 
A: 	ja oké 
A: 	dat zijn vijftien 
B: 	ja dat zijn L 
B: 	ok ja dat zijn dat man die zo doen 
B: 	ja 
A: 	dit zijn het plaa met de arm en de balk midden voor en een soort van ei erbovenop 
A: 	zeggen maar twee arm aan de zijkant balk er midden voor 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn dat man die zo doen 
A: 	die paal 
A: 	dat zijn zes 
A: 	dit zijn zeggen maar de arm en de paal ervoor en het ei erbovenop 
A: 	arm aan de zijkant zeggen maar 
A: 	ja 
A: 	dat zijn drie 
