B: 	ja ja ja 
B: 	zijn een soort vogel als je hem op zijn zij kijken 
B: 	ja 
B: 	en dat zijn een G 
A: 	ah 
A: 	okee nou nu komen we bij de tipitent 
A: 	zitten een driehoekje bovenop en dat zijn de tipitent 
A: 	en dan hebben je linksonder een een rond 
A: 	en link hebben je één ja een soort van oog 
A: 	dat eruit komen 
A: 	het beginnen heel smal 
A: 	ja zijn precies 
A: 	en die worden dan steeds bred 
A: 	eindigen wel in cilindervorm dan 
A: 	en dan beetje rechtsvoor uitstekend een beetje een een gek blok dat ik niet echt kunnen plaatsen het ja het 
A: 	ja 
A: 	okee 
B: 	dat zijn de vogel op zijn kant 
B: 	of met een feesthoed op 
A: 	wat het nou zijn 
A: 	ja nou dan gaan ik voor nummer een 
B: 	ja 
B: 	dat zijn M 
A: 	dit zijn de tipitent bovenop 
A: 	dat raar figuur rechtsvoor waarvan we niet weten wat het zijn 
A: 	linksonder een rond en link verrekijkerachtig ding 
B: 	vogel op zijn zij 
B: 	met een feesthoed op van de bovenkant van de voorkant gewoon zien 
A: 	ja ik zien hem al 
A: 	nummer twee 
B: 	G 
B: 	vogel met een feesthoed op 
A: 	tipitent 
A: 	link verrekijker 
A: 	dat raar blok 
A: 	vooraan 
A: 	nummer dertien 
