B: 	ja 
B: 	ja iets veel aan de rechterkant toch dus 
B: 	ja 
B: 	okee dat zijn f 
A: 	nou we hebben weer de hoofdbak daarop liggen dat ei 
A: 	en voor die hoofdbak staan een ook weer een staaf 
A: 	vierkant staaf eigenlijk een rechthoek 
A: 	gewoon op de smal kant 
A: 	en door de hoofdbak zitten een soort ja een soort boor één rond rond staafje en die maken een hoek 
A: 	okee 
A: 	ja ze verwisselen net ook 
A: 	volgens mij zijn dit ronde 2 dan 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer vijfteen 
B: 	deze 
B: 	ja zelf hebben ik het omschrijven als een korfbal maar jij hebben hem net ook al omschrijven 
B: 	het zijn zo'n zo'n staaf 
B: 	en ja er zitten ook echt een bal 
B: 	en dan die beker 
B: 	en dan zo'n soort van twee staaf aan de beide kant erdoorheen 
B: 	maar het zitten eigenlijk staan het beker zullen ik maar zeggen doordat het aan een staafje vastzitten 
B: 	eigenlijk die houten balk maar dan verticaal 
B: 	en die zitten aan de rechterkant dus een verticaal balk aan de rechterkant 
B: 	links bovenop soort van ei 
B: 	en dan aan de rechterkant iets in de beker en aan de linkerkant 
A: 	deze hoofdvorm hebben een ei op zich liggen 
A: 	er staan een vierkant langwerpig staaf voor 
B: 	ja 
B: 	ja 
B: 	ik vinden het best wel een korfbalachtig iets zo 
A: 	ja 
A: 	nummer een 
A: 	dit zijn de hoofdvorm met een ei dat er op liggen een vierkant staaf die ervoor staan 
A: 	ja nummer dertien 
B: 	ja 
B: 	ja dat zijn h 
B: 	ja de korfbal 
B: 	met het ei erin de balk aan de rechterkant waar die op staan 
B: 	en twee armpjes er doorheen 
B: 	ja 
B: 	ja waar die soort die hem omhoog 
B: 	die hem boven de grond tilen 
B: 	ja 
B: 	en twee armp rechts en link 
B: 	ja 
B: 	dat zijn I 
B: 	de korfbal 
B: 	met het ei bovenop 
B: 	een soort van staafje aan de rechterkant tegen het glas 
B: 	en twee aan de linkerkant aan de rechterkant een uitsteeksel 
