A: 	oké deze hebben zeggen maar een ei aan de voorkant 
A: 	gewoon echt voorop en er zitten een balk doorheen 
A: 	met een staaf 
A: 	ja en dan daarop zitten nog een zo'n ding op zijn hoofd een soort van 
B: 	ja weten ik al welk 
B: 	ja 
B: 	F 
B: 	ja 
A: 	ja even zoeken waar staan die ook weer 
A: 	met dat een dinge nog op zijn 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	dit zijn weer de neus met de balk erdoorheen 
B: 	ja 
A: 	dit zijn die dat ei met die raar zuignap erdoorheen 
A: 	pampampa 
A: 	worden we naaien 
A: 	ja dat zijn vijf 
B: 	ja A 
A: 	die zuignap 
B: 	dit zijn de neus met de doorboring 
A: 	ja nummer vijftien 
B: 	ja dat zijn h 
B: 	dit zijn de neus met de doorboring 
