B: 	die snapen ik niet helemaal 
B: 	o 
B: 	o het zijn het zien zien het eruit als een theekop 
B: 	ja 
B: 	ja dan zijn het E 
A: 	oké dit zijn de propeller 
A: 	ja dus hij hebben zeggen maar één soort van propellerding naar boven één naar de linkerkant en een soort van verrekijkerding naar de rechterkant 
A: 	yes 
B: 	ja dit zijn dat theekanne zeggen maar met het lepeltje eruit en die vierkant die steeds klein worden 
B: 	ja er zitten zeggen maar zo'n tui aan de een kant zo'n lepel achtig ding in en er zitten nog iets aan de voorkant 
B: 	ze gaan zeggen maar naar het object toe 
B: 	ja 
B: 	ja er zitten nog één ding erboven in en één ding aan de voorkant op en zitten nog één zeggen maar soort van tuitje aan de achterkant 
A: 	yes 
A: 	ja dat zijn elf 
B: 	zeggen maar die theepot die beetje zo lopen met dat tui 
B: 	ok dan zijn het J 
B: 	ja dit zijn die theekan met die vierkant die klein worden aan de zijkant 
B: 	één lepel bovenin 
B: 	bij mij staan hij rechtsonder maar ik weten niet 
B: 	ja maar dan zijn het er maar één en hij hebben zeggen maar zo'n groot ja rond ding aan de bovenkant en aan de voorkant ook nog één 
A: 	dit zijn de propeller 
A: 	ja en de verrekijker zeggen maar 
A: 	yes dat zijn negen 
B: 	ja dat zijn B 
B: 	dit zijn het theeko met die vierkant die klein worden 
A: 	dit zijn de propeller 
A: 	met de verrekijker 
A: 	ja dus zeggen maar van dan één ding boven één ding aan de zijkant en nog een verrekijkerding 
A: 	ja 
A: 	dat zijn vier 
