B: 	zijn het 
A: 	dit figuur hebben een soort 
A: 	satelliet aan de bovenkant zo noemen ik het het zijn een een ruit met daaruit aan beide kant uitsteeksel 
B: 	ja 
A: 	en aan de onderkant hebben die een een slurf 
B: 	ja dat zijn die met de ruit 
A: 	en aan de voorkant hebben die ook nog twee uitsteeksel die eigenlijk zo vooruitgaan 
B: 	met met de ruitvorm 
B: 	zijn het M 
B: 	ja het zijn M 
A: 	zijn dat die die ik net satelliet noemen 
A: 	oké 
A: 	nummer negen 
B: 	dit zijn weer die een met de met die ruit die strik aan de achterkant 
B: 	en dan met die twee armp 
B: 	die 
B: 	en die L en dat Lvormig uitsteeksel aan de onderkant 
B: 	hij doen een beetje dit 
B: 	zo interpreteren ik het een beetje 
B: 	maar de de strik om het zo te zeggen 
B: 	de ruit 
B: 	oké 
A: 	en dit zijn die met de satelliet aan de bovenkant en de onderkant dat staart 
A: 	lastig 
A: 	moeten je de heel tijd zoeken 
B: 	ja 
B: 	zijn H 
A: 	ja jou beurt 
A: 	de ja elf 
B: 	het zijn de strik 
A: 	dit zijn dat poppe met de satelliet aan de bovenkant 
A: 	en aan de onderkant het uitsteeksel 
B: 	de strik 
B: 	en die staan D 
A: 	nummer veertien 
B: 	het zijn een strik 
