A: 	het zijn diegene die hebben aan de rechterkant zo'n soort zo'n soort zo'n verrekijker weten je wel waarmee je kijken 
A: 	en dan maar één 
A: 	en dan hebben die bovenop zo'n zo'n ding 
A: 	ja maar één zo'n zo'n met al die blok maar dan maar één want je hebben er ook één met twee 
A: 	en staan die dus helemaal helemaal rechts 
A: 	ja 
A: 	en dan 
A: 	ja ja ja zo'n piratending dat zijn ook wel wat ik ? denken en overal van die uitstulpert 
A: 	oké 
B: 	ja 
B: 	en één of ander buis aan de achterkant 
B: 	oké 
B: 	E 
B: 	oké dit zijn weer die blok die steeds groot worden zitten aan de rechterkant 
B: 	en twee vergelijk ding boven en link 
B: 	en een soort van buis naar achteren 
B: 	ja 
B: 	ja 
A: 	met die een verrekijker 
A: 	oké dat zijn nummer elf 
A: 	met die een piratenverrekijker 
A: 	ja maar één 
B: 	ja precies 
B: 	J 
A: 	ja dat 
A: 	dat zijn nummer negen 
B: 	dit zijn weer ja die de een met het groot vierkant worden of klein worden 
B: 	aan de rechterkant en dan die ding boven en links en zo'n pijp aan de achterkant 
A: 	die met die piratenverrekijker 
B: 	ja 
B: 	waarom zien ik die niet 
B: 	hier 
B: 	B 
A: 	ja dat zijn nummer vier 
B: 	de blok die steeds klein worden aan de rechterkant en dan die ding boven uitsteken en links en aan de achterkant steken er nog iets uit 
B: 	de zeggen maar die klein worden blok zitten aan de rechterkant 
B: 	met die twee antenneding ja 
