A: 	zo 
A: 	ja precies 
A: 	ja dan hebben ik hem al 
A: 	van die 
A: 	ja ja ja nou zien ik hem ook ja ja 
A: 	dat zijn acht 
B: 	ja dit weten ik niet echt helemaal een goed naam voor te opgeven maar je hebben dat rond dingetje en dan zitten er gewoon eigenlijk een rechthoek zitten er gewoon op 
B: 	en aan de linkerkant iets zitten een rond wat een beetje uitlopen en aan de rechterkant zitten ook nog iets waar een staafje weer op staat 
B: 	het zijn zeggen maar wat een beetje een heel recht gezicht of zo waarmee ik het een beetje kunnen vergelijken 
B: 	tenmi zitten echt zo'n zo'n zo'n rechthoek zitten echt erop op op het er op ja 
B: 	ja ja die ja 
B: 	o wachten 
B: 	even kijken hoor ja ik hebben ik zien ik hebben maar één oor dan zeggen maar 
B: 	o wachten o ja dan zijn het denken ik wel hetzelfde ja 
B: 	ok bij mij N 
A: 	ja dit zijn ja die kip van jou 
A: 	die 
A: 	ja met die V en dan die twee dinget aan de 
B: 	o die met dat dinge er 
B: 	o wachten 
B: 	o welk oor o die oor wachten 
B: 	even kijken waar die staan waar staan hij nou o hier ja dat zijn E bij mij 
B: 	ok 
A: 	ja ja ja 
A: 	even kijken waar staan die 
A: 	even zoeken 
A: 	waar hebben ik dat ding nou 
A: 	daar 
A: 	één zijn dat 
B: 	o ja o dat zijn die een met die twee oor en dat gezicht een beetje 
B: 	beetje zo schuin omlaag met dat vierkan er boven 
B: 	ja ja 
B: 	ja bij mij O 
A: 	ja dit zijn die kip van jou 
B: 	waar zijn hij 
B: 	ja ik snapen wel welk je bedoelen E zijn dat bij mij 
B: 	ok 
A: 	die kip 
A: 	waar staan die 
A: 	ah zestien 
A: 	zestien 
A: 	voor de duidelijkheid 
A: 	dit zijn die kip van jou 
B: 	o dit zijn weer die een met die twee oor en dat staafje zo en dan op het hoofd 
B: 	ok bij mij C 
B: 	m m o hier O 
B: 	even klikken 
