B: 	oké 
B: 	ja ik weten welk ja ik weten welk je bedoelen 
B: 	dat zijn bij mij zijn dat F 
B: 	ik noemen hem ook de heel tijd de inboorling 
B: 	oké dus F 
B: 	ja precies 
A: 	ik hebben er één en die lijken een beetje alsof die een neuspiercing hebben 
A: 	en het zijn een soort 
A: 	ja en het zijn een basketbal standaard zeggen maar 
A: 	zo'n soort korfbalstandaard 
A: 	oké 
B: 	oké ik hebben weer die inboorling 
B: 	dus de kannibaal met de ding door zijn neus 
A: 	ja dat zijn nummer vijf 
B: 	oké kannibaal yes dat zijn nummer A of dat zijn a bij mij 
B: 	ja 
B: 	oké weer de inboorling 
B: 	de kannibaal 
B: 	met de piercing 
A: 	dit zijn de neuspiercing 
A: 	zijn nummer vijf 
B: 	inboorling 
B: 	de H zijn dat bij mij 
B: 	nice 
A: 	de neuspiercing 
B: 	de inboorling weer 
B: 	de kannibaal 
A: 	dat zijn vijftien 
