B: 	deze hebben een driehoekuitsteeksel aan de linkerkant en boven een blok en een soort pylonne 
B: 	en aan de voorkant nog een rond 
B: 	en ver zijn die best wel simpel 
B: 	aan de bovenkant hebben die aan de rechterkant een een balk zeggen maar en aan de linkerkant iets wat lijken op een pionnetje of zo een 
B: 	nee hij hebben onder helemaal niks 
B: 	hij hebben twee zij Steeksels aan de zijkant en twee aan de bovenkant 
B: 	er zitten nee die steken zeggen maar uit als een driehoekigvormig balk 
B: 	en die zitten aan de linkerkant 
B: 	een beetje zo in het midden 
B: 	en aan de rechterkant zitten er in het midden komen er een bol uit 
B: 	ja 
B: 	ja ja ja die 
B: 	oké 
A: 	kegel bowlingding 
A: 	ja 
A: 	ja ja ja 
A: 	ja oké 
A: 	bij mij zijn dat veertien 
B: 	ja 
B: 	oké 
B: 	dat zijn N 
A: 	deze hebben weer zo'n ei aan de voorkant van het kop 
A: 	en dan steken er een gewoon een normaal rechthoekig balk uit 
A: 	en weer die kegelvorm op zijn kop 
A: 	en dan links nog een klein driehoekachtig balk 
B: 	ik hebben diegene met twee verschillend uitsteeksel aan de bovenkant 
B: 	een driehoek eruit en een rond aan de voorkant 
B: 	ja 
B: 	oké dit zijn G 
B: 	ik hebben diegene met twee verschillend uitsteeksel en een bol en een driehoekje aan de zijkant 
A: 	ja ja ja 
A: 	negen 
B: 	ja denken ik 
B: 	ja dat zijn J 
A: 	dit zijn dat ei aan de voorkant weer en dan een normaal balk erboven en een kegel 
A: 	en dan nog een driehoek driehoekbalk aan de linkerkant 
A: 	vijf 
A: 	dit zijn met een ei voorop en dan zo'n normaal balk eruit die kegel en dan een nog een driehoek aan de linkerkant 
A: 	driehoekbalk 
A: 	een ei aan de voorkant 
A: 	en dan een normaal rechthoekig balk erbovenuit 
A: 	en dan een omgekeerd kegel en dan nog een driehoekbalk aan de linkerkant 
