B: 	ja 
B: 	oké ja dan zijn het K 
A: 	deze hebben ja hoe leggen je dat eigenlijk zitten links en rechts zijn er uitstekel met een rond kop eraan 
A: 	en hij hebben erachter ook nog een een soort van plateautje 
A: 	ja 
B: 	oké deze hebben die uitsteeksel met aan de zijkant een bol waarvan de een lang zijn dan de ander 
B: 	en aan de achterkant zitten wat ik vinden een beetje zo'n metselding lijken 
B: 	maar met zo'n balk zeggen maar zo'n plat en dan zijn nog een streepje daaraan 
B: 	ja 
B: 	ja ja ja 
B: 	oké 
A: 	met dat plateaut wat er nog aan de achterkant zitten 
A: 	met die bollet die uit steken 
A: 	ja dat zijn nummer negen 
B: 	ja ik moeten even zoeken waar die staan 
B: 	ja ik moeten alleen even zoeken waar die staan want anders hebben het ja ja oké ja ja dat zijn F 
A: 	dit zijn die met die stang erdoorheen met de uiteinde die bollet 
A: 	met het plateaut erachterop nog 
A: 	ja 
A: 	oké 
B: 	oké 
B: 	ik hebben die met die twee uitsteeksel met een bol erop die niet even lang zijn 
B: 	en die metselding 
B: 	oké 
A: 	even kijken 
A: 	ja dus met die rond uitein weer 
A: 	oké dat zijn nummer drie 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	dit zijn met die staaf erdoorheen met die rond uiteinde 
A: 	met het plateaut nog aan de achterkant 
B: 	ik hebben diegene met die uitsteeksel en een bol op erop en dan dat die ongelijk zijn aan twee kant 
B: 	ja staan weer anders 
A: 	daarachter 
A: 	ja dat zijn nummer vijf 
