B: 	dat neusje 
B: 	ja 
B: 	ja 
B: 	ja oké 
B: 	D 
A: 	deze lijken een beetje op een korf waar een bal in gooilen worden er zitten ook een staaf aan 
A: 	en een ja 
A: 	steken iets uit ja 
B: 	er zijn een bakje en het bak hebben twee arm deze hebben jij al voor mij doen net 
B: 	en hij hebben een neusje op zijn hoofd 
B: 	zeggen maar zo'n bolle 
B: 	geen probleem 
B: 	en voor hem staan een balk 
A: 	ja die hem vasthouden 
A: 	dat zijn vijftien voor mij 
B: 	ja 
B: 	letter L 
A: 	dit zijn de de korf 
B: 	hij hebben een balk voor zich en hij hebben een rond bollet boven hem en hij hebben twee van die ijzerig armpjes 
A: 	yes dat zijn zes voor mij 
A: 	dit zijn de korf 
B: 	yes 
B: 	letter J 
A: 	ja 
B: 	hij hebben een balk voor zich hij hebben twee armp en een balle op zijn hoofd 
