A: 	deze hebben zo'n uitsteeksel waar ja ik vinden het op een spijker lijken die erin zitten 
A: 	en dat uitsteeksel hebben een beetje een gek vorm 
A: 	en aan de rechterkant zitten nog een een plateaut zeggen maar 
A: 	die uitsteken 
A: 	ja 
A: 	ja oké dan zijn het zeven 
B: 	zo'n soort Eiffeltoren op zijn kop 
B: 	ja 
B: 	oké dat zijn L 
A: 	dit zijn die met die spijker erin 
B: 	ja dit zijn ja weer het kop met dat een plat plaa en die omgekeerd Eiffeltoren 
B: 	ja het zijn zeggen maar één zo dat zijn eigenlijk die naald zeggen maar die er 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	ja 
A: 	oké dat zijn één 
B: 	ja ja 
B: 	ja ja ja 
B: 	ja 
B: 	C 
A: 	dit zijn die met die spijker erin 
B: 	dat zijn die naald in die arm 
A: 	ja 
A: 	dat zijn dertien 
B: 	A 
B: 	de naald 
B: 	in de arm 
