B: 	ja 
B: 	ja dat zijn K bij mij ik noemen het ook de knuppel 
B: 	ik noemen het zonnepaneel zo 
B: 	die strandstoel zijn ook leuk 
B: 	oké ja 
B: 	dus dat zijn K 
A: 	deze hebben twee van die luciferstokjes naar de zijkant en zo'n afdak aan de achterkant 
A: 	één naar links en één naar rechts 
A: 	één het een luciferstokje aan de linkerkant zijn weinig groot dan aan de rechterkant 
A: 	het zijn echt zo'n stok met zo'n kopje erop 
A: 	en dan hebben die zo'n afdak aan de achterkant 
A: 	ja die ja 
B: 	het zijn weer die honkbalknuppel 
B: 	en het strandstoel 
A: 	ja 
A: 	met dat plank aan de achterkant 
A: 	oké dat zijn nummer negen 
B: 	oké 
B: 	even 
B: 	ja sorry ik moeten even zoeken ja F 
A: 	dit zijn die een met die luciferstok 
A: 	ja 
B: 	de honkbalknuppel 
B: 	met het strandstoel 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer drie 
B: 	even kijken ja dat zijn L bij mij 
A: 	die een met de twee lucifer 
B: 	weer de honkbalknuppel 
A: 	ja dat zijn vijf 
