B: 	ja 
B: 	ja 
B: 	en dan hebben je aan de voorkant nog een soort van vierkant verrekijker die je uitklapt die piraat gebruiken 
B: 	ja 
B: 	E 
A: 	ja ja dit zijn weer wat we net zo hebben over zo'n pluim en dan hebben je er hebben je er twee aan zitten één aan de voorkant en één er boven op 
A: 	en dan hebben je dan aan de zijkant hebben je soort van twee arm waar ook zo'n kubus eigenlijk van smal naar breed gaan aan de rechterzijde 
A: 	ja 
A: 	ook aan de voorkant ja ja 
A: 	groot worden ja die ja 
B: 	oeh niet zo net doen 
B: 	dit zijn diegene met twee dezelfde één bovenin zijn hetzelfde als aan de linksvoor die eruit komen 
B: 	rechtsvoor hebben je die verrekijker en achter hebben je nog zo'n slurfje 
B: 	weten ik niet veel 
B: 	oké Bovenin hebben je dus rechtop ja een soort de uiteinde van een schroevendraaier 
B: 	en dan hetzelfde linksvoor 
B: 	en dan hebben het rechtsvoor zo'n vierkant die uitsteken 
B: 	als een soort verrekijker die piraat ook hebben 
B: 	en dan achter deze hebben jij beschrijven volgens mij 
B: 	nee nee dat zijn niet deze 
B: 	het hebben in totaal het theekop laten maar zeggen hebben in totaal vier uitsteeksel 
B: 	boven linksvoor rechtsvoor en linksachter 
B: 	nee 
B: 	nee 
B: 	het zijn echt als je een schroevendraaier hebben 
B: 	het uitein daarvan waar je je hand het handvat laten maar zeggen zo zo zien het er ongeveer uit 
B: 	en daar hebben je er twee van 
B: 	boven en linksvoor hebben je die 
A: 	ja 
A: 	dat zijn dan numero elf 
B: 	ja weten je nog die vierkant de vierkant 
B: 	het beginnen met bij een theekop met een klein vierkant en dan zitten er een iets groot vierkant aan een nog iets groot vierkant aan en nog een groot vierkant aan 
B: 	en dat zitten aan rechtsvoor 
B: 	ja 
B: 	oké 
B: 	oké 
B: 	ja 
B: 	Piet Piraat 
B: 	ja 
B: 	vijzel ja oké nee zijn goed vijzel ja kloppen 
B: 	vijzel ja 
B: 	ja 
B: 	J 
B: 	ja J 
A: 	ja dit zijn weer die met die twee dezelfde pluim dus één bovenop en één aan de voorkant 
A: 	en dan hebben je aan de zijkant hebben je zo'n blok die langzaam breder worden en aan de onderkant hebben je zo'n raar draai nog erbij 
B: 	de vijzel 
A: 	ja 
A: 	vinden 
A: 	ja dat worden dan dit nummer negen 
B: 	ja 
B: 	B 
A: 	dit zijn die die met die met dezelfde pluim van boven en aan de voorkant en aan de zijkant hebben je zo'n kubus die langzaam groot worden en aan de ander kant hebben je zo'n worm achtig gebeuren ja 
B: 	dus de de vijzel 
B: 	ja 
A: 	ja 
A: 	ja daar zijn hij 
A: 	nummer vier 
