B: 	en met nog een vierkan erop 
B: 	oké dat zijn L 
A: 	oké dit zijn een mokje er zitten niks in de bovenkant 
A: 	er zitten wel een uitsteeksel 
A: 	een beetje een Bvormig uitsteeksel 
A: 	en daarop 
A: 	ja een beetje ja een beetje bvormig 
A: 	twee golf 
A: 	en daarboven daarop zitten weer een een uitsteeksel in de vorm van een uitgerekt piramide 
A: 	een beetje uitgerken zo 
A: 	en er zitten ook een een tafel aan de rechterkant 
B: 	en dit zijn weer dat kop met die plat schijf aan de rechterkant 
B: 	en aan de linkerkant ja jij zeggen net C geloven ik 
B: 	en die ijspegel en het vierkan 
A: 	een soort pion 
A: 	ja zijn dit die met de Bvormig een tafel toch aan de aan de 
A: 	ja 
A: 	uitgereken 
A: 	ja een uitgerken pionnetje ja ja oké 
A: 	dat zijn zeven 
B: 	ja 
B: 	ja dat zijn C 
A: 	zitten veel veel naar beneden 
A: 	ik kunnen ik zijn echt ik kunnen echt niet inschatten hoeveel centimeter ik moeten gokken hier 
A: 	even kijken horen beker 
A: 	tafel aan deze kant 
A: 	aan de rechterkant 
A: 	en het zijn een Bvorm aan de linkerkant en zo'n uitgereken pion 
A: 	eraan vast 
B: 	dit zijn die met die plat schijf aan de rechterkant en de C en de ijspegel aan de linkerkant 
B: 	ijspegel 
B: 	ja dat zijn A 
A: 	en jij zijn 
A: 	bvormig pion die 
A: 	die ja 
A: 	oké 
B: 	dit zijn weer met dat plateau aan de rechterkant en de C aan de linkerkant met de ijspegel en het vierkan 
A: 	dit zijn het mokje met het tafel en de Bvorm en de verlengen pion die daaraan vastzitten 
A: 	uittrekken 
A: 	ja 
A: 	ja die 
A: 	dat zijn dertien 
