A: 	oké 
A: 	het zijn ja gewoon zo'n kommetje en dan lijken het net alsof die een neusje hebben aan de voorkant 
A: 	en dan door het neusje zitten een een een staafje en een 
A: 	ja dat zijn een rond neusje 
A: 	en dat staafje wat erdoorheen zitten 
A: 	aan één uitein zitten een cirkel 
A: 	en dan zeggen maar bovenop zitten nog een klein pluk naar achter 
B: 	ja hij zijn doorboren zeggen maar 
B: 	ja ja ja ik weten welk het zijn ja 
B: 	bij mij zijn het F 
B: 	dus één F 
B: 	oké dit zijn de ijstheestaafje door de neus 
B: 	D 
B: 	Dirk 
A: 	nummer vijf 
B: 	ja even kijken 
B: 	ja bij mij A bij jou 
B: 	A vier 
A: 	dit zijn zeggen maar het komme met het neusje met de piercing erin 
A: 	waar dat waar het schijf aan zitten 
B: 	dit zijn ijstheestamper 
B: 	I 
A: 	ja 
A: 	nummer vijf 
B: 	H 
B: 	en bij jou 
B: 	H zes 
A: 	de neusje met neuspiercing 
A: 	en het pluk 
B: 	oké ijstheestamper 
B: 	I 
A: 	ja 
A: 	nummer vijftien 
