A: 	oké 
A: 	ja 
A: 	ja 
A: 	dan zijn het nummer twee 
B: 	deze hebben ook vier dinget aan de de emmer , aan de beker 
B: 	beetje rechtsvoor zijn het een bal 
B: 	bovenop hebben hij er twee 
B: 	beetje in het midden zijn het een staafje 
B: 	ja 
B: 	ja ja ja 
A: 	het ei in dit geval zitten aan de voorkant bovenop zijn er twee ding die erin steken aan de linkerkant zijn nog een uitstulpink 
B: 	een bal 
B: 	ja 
B: 	dat zijn C 
A: 	oké 
A: 	oké 
A: 	nee dan 
A: 	dan zien ik hem 
A: 	nummer vijf 
B: 	deze hebben een balle rechtsvoor en een gootje link 
B: 	nog iets link daarvan 
A: 	de bak met het penceel en de de balk erin , aan de linkerkant een klein armp , aan de rechterkant een ei 
A: 	nummer vier 
B: 	ja 
B: 	en een bal 
B: 	ja 
B: 	dat zijn H 
A: 	de bak met het penceel en de de balk erin 
A: 	aan de voorkant een ei 
B: 	deze hebben we net ook , die liniaal die er boven uit komen , rechts een bal , gootje link 
B: 	ja 
B: 	ja G 
