B: 	ja 
B: 	ja 
B: 	ja f 
A: 	ja er zitten een lepeltje in 
A: 	en het lijken alsof het zeggen maar vastgemaakt zijn aan de muur als er dan zeggen maar een muur zullen zijn 
A: 	en laten maar zeggen zijn een soort staafje wat vastgeplakt zijn aan een mok met een cirkel daarin 
A: 	ja 
A: 	ja zijn een plat cirkel 
A: 	en het lepel wijzen zeggen maar naar de linkerkant 
A: 	vanuit de mok 
A: 	dus dan zitten er zeggen maar een staafje eraan vastgemaakt 
A: 	en een cirkel erin en 
A: 	alsof die zeggen maar alsof je dat kunnen aanzuigen aan een muur laten maar zeggen 
A: 	ja precies 
B: 	deze hebben zo'n bal voorop en er zitten een staaf in het lijken een beetje op de neus van een helikopter 
B: 	en aan de een kant van de staaf zijn een cirkel 
B: 	en bovenop de emmer zijn een soort van lepeltje handvaa 
B: 	ja o 
B: 	deze zijn de helikopter 
B: 	ja d 
B: 	dit zijn die helikopter 
A: 	ja wat lijken op een zo'n soort zuignap zeggen maar achtig iets 
A: 	met een lepeltje uitsteken en een ei daarnaast rechts 
A: 	ja dat zijn nummer tien 
A: 	dit zijn met een lepeltje erin 
A: 	een soort ei aan de rechterzijde met die zuignap erdoorheen 
A: 	ja dat zijn nummer tien 
A: 	het lepeltje en een zuignap aan de zijkant 
A: 	en een ei erdoorheen 
A: 	even kijken waar zijn die 
A: 	ja nummer vijfteen 
