B: 	deze hebben een soort vierkant in het midden erdoorheen 
B: 	en dan aan de voorkant een Ronde buis die naar voren steken 
B: 	aan de bovenkant twee stekel en aan de linkerkant een soort L maar dan andersom 
A: 	want die hebben die twee twee uitsteeksel boven ja 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	ja 
B: 	moeten je het nummer of letter 
B: 	en dan en dan knopje 
A: 	deze hebben ook een plaat maar wat veel naar het midden 
A: 	en dan die twee dinget bovenop 
A: 	ja wachten ik zoeken die ja ja ja ja precies 
A: 	dat zijn bij mij dertien 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	deze hebben een vierkant er zo plat doorheen 
B: 	en een L aan de linkerkant 
B: 	twee dinget aan de bovenkant en de ding aan de voorkant 
A: 	dit zijn weer die een met de plank niet onderaan maar iets omhoog en die twee dinget aan de bovenkant 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	ja dat zijn nummer negen 
A: 	die met de plaat die iets in het midden zitten 
B: 	dit zijn met dat vierkant plat erdoorheen 
B: 	en twee dinget aan de bovenkant een L aan de linkerkant 
B: 	ja 
B: 	dat zijn bij mij N 
