B: 	bijzetting ja 
B: 	ja 
B: 	k 
A: 	deze hebben hebben aan deze kant hebben hij een soort van lijken net of of hij een dienblad vasthouden 
A: 	en aan de ander kant hebben hij een soort van raarvormig neus met een toeter eraan kunnen je zeggen 
B: 	deze hebben dat bijzettafel soort van en die uitsteeksel met die dat ding wat omhoog gaan 
A: 	ja zo'n toeter 
A: 	dat zijn vijfteen 
B: 	ja 
B: 	even kijken waar die blijven zijn ja g 
A: 	deze die ophouden de weer zo'n dienblad vast met de toeter 
A: 	dienblad en toeter 
B: 	deze hebben het bijzettafelt eraan en dan aan de ander kant dat ding wat eruit komen 
A: 	ja dat zijn nummer acht 
B: 	l 
A: 	deze hebben de dienblad en de toeter 
B: 	deze hebben het bijzettafelt 
A: 	toeter 
A: 	nummer twaalf 
