B: 	die mij zien er soort van uit als een wijnglas 
B: 	met erop of erin 
B: 	gespiraald stang eronder 
B: 	het zijn een driehoek met een spiraal en dan daarboven de emmer 
B: 	d 
A: 	zitten zijn het alsof het beker laten maar zeggen in een houder worden zetten 
A: 	laten maar zeggen een soort vierkantachtig houdertje waarin je het in zullen bijzetten laten maar zeggen 
A: 	en dan uitsteken er twee streepjes daar bovenuit 
A: 	okee 
A: 	ah okee 
A: 	okee en dat plateau dat zitten zeggen maar in de beker laten maar zeggen 
A: 	of wat bedoelen je met plateau precies 
A: 	okee 
A: 	en dan zitten er aan de bovenkant een soort vierkant rechts 
A: 	en dan 
A: 	dus alsof het dus een soort stroompje zijn en dan eindigen in een soort driehoekje 
A: 	dus de wijnglas laten maar zeggen als je hem neer zullen voortzetten bekendstaan hij op een driehoek 
A: 	okee dan zijn het nummer tien 
B: 	dit zijn het wijnglas 
B: 	à 
B: 	dit zijn het wijnglas 
A: 	ja dit zijn laat maar zeggen weer die wijnglas 
B: 	g 
A: 	dus laten maar zeggen met een staafje aan de onderkant met een driehoekje 
A: 	en die drie blok boven 
A: 	dat zijn nummer twaalf 
A: 	de wijnglas 
A: 	ja dat zijn even kijken nummer zes 
A: 	wijnglas 
