B: 	deze hebben een soort van bol erop het zijn diegene met die bol maar dan zonder die staaf erdoor 
B: 	zeggen maar ertegenaan niet erop 
B: 	niet bovenop er 
B: 	er op de zijkant zeggen maar 
B: 	ja en nog één 
B: 	ja 
A: 	een rechthoekje op zijn hoofd 
A: 	en en komen er zeggen maar goo uit zijn oor 
A: 	ja 
A: 	ja 
A: 	ja ja echt zo'n ja ja ja 
A: 	nou dan weten ik hem al 
A: 	dat zijn nummer veertien 
B: 	dat zijn bij mij N 
B: 	die met die bol op de zijkant 
B: 	ja 
A: 	dit zijn zijn met een soort van goo wat uit zijn oor komen en een rond neus 
A: 	rond neus goo uit het oor een kegel en een blok 
B: 	even zoeken 
B: 	G 
B: 	dit zijn weer met die bol aan de rechterkant en die twee dinge naar boven 
B: 	nee 
B: 	J 
A: 	met zo'n goo 
A: 	ja dat zijn numero negen 
A: 	met die dik neus en dat watergoot 
A: 	uit zijn oor 
A: 	en dat blok 
A: 	dat ja dat zijn dan numero vijf 
A: 	ja met die dik neus en het goot 
