A: 	ja dit zijn bij mij ja ik hebben even kijken ja ik omschrijf dat veel als een zeepaard of zo 
A: 	ja 
A: 	ja zeggen maar die die die driehoek aan het einde en dan aan de achter achter die emmer zeggen maar daar zitten die zitten zo'n ruit of zo en dan aan beide kant zitten dezelfde zelfde 
A: 	nee ja alleen de onderkant onderkant 
A: 	ja 
A: 	nee precies 
A: 	die ja 
A: 	M 
B: 	o ja ja 
B: 	ja 
B: 	ja ik hebben het ik hebben die ook dat doen hij me inderdaad ook aan denken en dat zijn bij mij zijn dat M 
B: 	ok 
A: 	het zeepaard van mij 
A: 	eens even kijken dat zijn negen 
B: 	o dit zijn weer dat dansen poppe met die dat met die been zo en die been zo en nog een arm zo ja 
B: 	ok bij mij I 
A: 	ja dit zijn dat zeepaard 
A: 	H 
B: 	o H 
B: 	ok klikken 
A: 	het zeepaard 
A: 	elf 
A: 	dit zijn dat zeepaard 
B: 	o dit zijn het dansen poppe 
B: 	ok bij mij F 
A: 	het zeepaard veertien 
B: 	o daar D 
B: 	o dit zijn weer dat dansen poppe 
B: 	ja bij mij G 
