A: 	oké dit zijn de bovenkant 
A: 	die hebben een soort piramide of een driehoek erop staan en dat zijn de enig die dat hebben 
A: 	ja 
A: 	en hij hebben aan de linkerkant ook een klein uitstulpel eigenlijk aan de onderkant een cirkel maar die je niet helemaal zien 
A: 	oké 
A: 	top 
B: 	ja 
B: 	ja 
B: 	ah okee 
B: 	ja 
B: 	wachten en dan en dan hebben je rechts nog zo'n 
B: 	ja precies 
B: 	ja l 
A: 	dat zijn een heel snel 
A: 	gewoon helemaal de piramide 
A: 	oké nummer dertien 
B: 	deze zijn met die driehoek op de bovenkant 
B: 	bee ja driedimensionaal driehoek aan de bovenkant 
B: 	bij zo'n scheef blok aan de voorkant staan 
B: 	ja 
B: 	ja 
A: 	een rechthoek bovenop 
A: 	of rechthoek ik bedoelen een driehoek 
A: 	bovenop het kop , enig driehoek , heel groot , de piramide 
A: 	ja 
A: 	de piramide 
A: 	nummer tien 
B: 	ja 
B: 	ja ja ja en dat schotelt onder 
B: 	ja 
B: 	dat zijn k 
B: 	dit zijn met die driehoek op de bovenkant 
B: 	en dat blok aan de voorkant 
A: 	de piramide 
A: 	ja nummer elf 
B: 	ja 
B: 	ja 
B: 	dat zijn h 
B: 	dit zijn dat driehoek 
B: 	dat driehoek op de bovenkant en dat raar blok 
