B: 	hier zitten ook zo'n plaat door het kop 
B: 	en tenminste volgens mij zijn het een plaat en er zitten twee van die poot aan en één ja nog iets staan erop 
B: 	en een soort staar of zo 
A: 	ja ik hebben hem 
A: 	ja 
A: 	ja ja dat zijn zestien 
B: 	ja dat zijn P 
A: 	ja het zijn een mokje met een tafel met een beker erop 
A: 	dus het tafel erop 
A: 	ja 
A: 	ja 
B: 	bij deze zitten die plaat erdoorheen met van die poo aan de onderkant en het kuipje erop 
B: 	en het slangetje aan de achterkant eruit 
A: 	ja 
A: 	ja die zijn dat zijn elf 
B: 	dinge 
B: 	ja dat zijn N 
B: 	dit zijn waar die plaat er aan de bovenkant doorheen zitten en die poot en dat Cupje 
A: 	oké tafel met mokje of kop bak erop 
B: 	ja dat zijn D 
A: 	ja 
A: 	tafel met bak waar zijn die nou 
A: 	ja 
A: 	dat zijn tien 
A: 	oké 
A: 	tafel met het bak kop mokje erop 
