A: 	deze hebben aan de rechterkant een plat ronde schijf en aan de linkerkant hebben je een uitsteeksel met daar bovenop nog zo'n heel langwerpig zo'n toeterding 
A: 	ja 
A: 	en aan de rechterkant zo'n ronde schijf toch 
A: 	ja vijfteen 
B: 	ja 
B: 	spijker 
B: 	ja okee 
B: 	ja dat zijn d 
A: 	dit zijn de met aan de rechterkant die Ronde schijf en aan de linkerkant uitsteeksel met daarbovenop die langwerpig 
B: 	dit zijn diegene met dat gehoekte handvat en de spijker schoorsteen in dat handvat 
B: 	yes yes 
A: 	ja 
A: 	twee 
B: 	yes dat zijn p 
A: 	dit zijn die met die die rond schijf aan de rechterkant en dat en dat uitstekend tuu zo linksboven 
A: 	ja horizontaal 
B: 	deze hebben dat handvat met de inkeping en de schoorsteen 
B: 	en het het cirkelplateau 
A: 	ja 
A: 	de Ronde schijf aan de ja 
A: 	drie 
B: 	dat zijn p 
B: 	dit zijn de ingekeept handvat de schoorsteen en het plateau 
