A: 	nn 
A: 	ok 
A: 	zijn die ok ja dat zijn zestien 
B: 	ik hebben er nou één dat ja het lijken eigenlijk een een soort van een tafel en dan hebben je daar dus 
B: 	ook zo'n één kom erdoorheen zeggen maar 
B: 	of ja een soort van beker erdoorheen zeggen maar en op dat tafel zullen ik daarover kunnen zeggen staan dan ook nog een een komme zeggen maar 
B: 	ja 
B: 	ja 
A: 	dit zijn dat wat dat vierkant wat richting de bovenkant van het kop zitten en dan zitten er zo'n soort kuipje bovenop 
A: 	en hebben twee poo zo naar beneden we hebben hem al hebben volgens mij 
A: 	ja volgens mij zijn het de kruiwag 
B: 	oké ja die soort van tafel zeggen maar 
B: 	oké dat zijn dan bij mij P 
A: 	zijn met dat met die twee poo naar beneden 
A: 	ja ok dat zijn veertien 
B: 	nou hebben ik weer dat tafel zeggen maar met dat komme ervoor en dan weer zo dat ja zeggen maar 
B: 	ja die 
A: 	ja dit zijn de kruiwag 
A: 	ja zijn tien 
A: 	het zijn de kruiwag 
B: 	ja even zoeken 
B: 	ja 
B: 	bij mij zijn het N 
B: 	hebben we weer dat tafel met die met dat bak erop zeggen maar en dan die twee tafelpoot zeggen maar 
B: 	ja 
B: 	bij mij zijn dat D 
