B: 	het kop hebben onder een blauw vlak als enig met een blauw vlak eronder 
B: 	en van 
B: 	ja van die dinget 
B: 	ja 
A: 	ja 
A: 	ja ja ik hebben hem wel ja die zijn heel duidelijk 
A: 	dat zijn nummer vijf voor mij 
A: 	nummer vijf 
B: 	ja dat zijn J 
B: 	ik hebben die met die Pippi Langkousstaartjes 
B: 	dat zijn P 
A: 	oké deze hebben de de ruit aan de zijkant zitten drie ruit links drie ruit rechts 
A: 	en en het rond aan de voorkant 
A: 	en dan op een dienblad 
B: 	ik hebben het Pippi Langkousstaart 
A: 	ja 
A: 	yes oké dat zijn elf 
B: 	Trrr 
B: 	ja 
B: 	dat zijn L 
A: 	oké dit zijn weer met die diamant aan de aan de zijkant en 
A: 	ja 
A: 	yes oké dat zijn negen 
A: 	dit zijn weer de diaman aan de zijkant 
