B: 	ja 
B: 	ja 
B: 	ja het lijken een beetje op een tent daarboven 
B: 	oké 
B: 	ja 
B: 	het zijn een het zijn J 
A: 	best veel 
A: 	oeh 
A: 	ja zo'n zo'n hut puntig hutje 
B: 	dit zijn diegene met die driehoek aan de bovenkant en die pijl die er zo in gaan 
A: 	op zijn kop 
A: 	een beetje open 
A: 	en dan driehoek zo op zijn kop 
A: 	ja 
A: 	bij mij zijn het een driehoek 
A: 	een kogel zeggen maar 
B: 	ja dat zijn E 
A: 	en dan zo'n kogel aan de kant 
A: 	oké 
A: 	zes 
B: 	oké ik hebben die met de driehoek erop 
B: 	en zo één klein dinge erin 
B: 	ja 
B: 	dat zijn G 
A: 	ja dat dat dat scherp driehoek en dan zo'n kogel aan de zijkant 
B: 	oké ik hebben diegene met die piramide die driehoek aan de bovenkant en zo de pijl daarin aan de zijkant 
A: 	nummer tien 
A: 	dat dat kogel en dan dat driehoekje zo 
A: 	die heel scherp driehoek 
A: 	jou beurt 
A: 	waar zijn je 
A: 	tien 
