B: 	ja ja die ja die eigenlijk het hoog zijn van bijna van al 
B: 	ja okee 
B: 	n 
B: 	ja 
B: 	ik hebben dat heel langwerpig pijl weer die Linksbovenin 
B: 	die eigenlijk het hoog zijn van alles 
B: 	ja p 
B: 	die ik hebben die die die pijl die heel hoog zitten Linksbovenin 
A: 	dan zijn er nou één met een ja een uitsteeksel dat een beetje achtvormig lijken 
A: 	met één na ja dat zijn niet zo goed beschrijving een uitsteeksel naar de linkerkant 
A: 	en op dat uitsteeksel lijken wel alsof er een beetje schuin een soort spijker tegenaan staan 
A: 	of op , op staat 
A: 	en aan de rechterkant hebben hij ook een klein uitsteekselt en dat lijken een beetje op een dienblad en je uitzien ook nog een heel klein armpje dat dat dienblad op zijn plek houden 
A: 	ja 
A: 	ja link daarboven dat zijn wat ik zullen zeggen die spijker met een plat kop en die worden steeds puntig naar dat uitsteeksel toe 
B: 	ja I 
A: 	ja 
A: 	even kijken 
A: 	ja 
A: 	en die spijker 
A: 	ja nummer zeven 
B: 	dat dat dat wijsding dat linksbof helemaal hoog uitsteken 
B: 	ja het hoog ding ja 
A: 	deze zijn met het dienblad en de spijker 
A: 	ja ja ja nummer drie 
A: 	deze zijn met de spijker en het dienblad rechts 
A: 	ja 
A: 	nummer zeven 
