A: 	oké zitten daar nog twee ander dinge aan 
A: 	nog één zo'n dinge erachter en één die zo 
A: 	oké 
A: 	dat zijn nummer veertien 
B: 	oké hij hebben een neus 
B: 	een rond 
B: 	en dan dat zijn het en dan zo'n vierkan aan de bovenkant 
B: 	aan de linkerkant zitten dan zo'n 
B: 	ja de vulpen ja ja ja dat zijn hem 
B: 	nee 
A: 	die met dat ei op zijn voorkant waar jij zeggen van een lepeltje erin zitten 
A: 	met een 
A: 	ja precies 
B: 	ja die ja 
B: 	ja dat zijn D 
A: 	ja 
A: 	met dat lepel erin en zo ja 
A: 	dat zijn negen 
A: 	dit zijn dat kop met dat lepel erin met dat neusding aan de voorkant 
A: 	met die driehoek zo aan de zijkant 
A: 	de Driehoekbak 
A: 	ja precies zonder zuignap ja 
B: 	dit zijn de neus aan de voorkant met bovenop de balpen of zoiets wat jij zeggen ja 
A: 	ja met dat lepeltje erin 
A: 	dat zijn nummer vijf 
A: 	dat kop met lepeltje en die neus 
A: 	ja precies 
B: 	erdoorheen steken toch 
B: 	ja ja ja ik zien hem al 
B: 	ja ja ja G 
B: 	dit zijn de neus met de vulpen erin 
B: 	ja dat zijn J 
