B: 	ja 
B: 	o 
A: 	even kijken dit zijn best wel zo'n druk 
A: 	het hebben aan de onderkant hebben het een soort ja laten maar zeggen uitstulp en een soort hand wat daar hangen 
A: 	aan de onderkant ja 
A: 	dan kunnen je daar naar kijken 
A: 	daarnaast hebben het boven hebben het een soort laten maar zeggen alsof je in een cocktailtje een soort citroen daarnaast hebben plakken 
A: 	en dan zijn het echt een soort vierkan wat daar zeggen maar aan de bovenkant uitsteekt en dan uit dat vierkan lopen nog twee dinget in 
A: 	alsof je een cocktailglas hebben met een soort citroen maar dan een vierkan 
A: 	en dan hebben het aan de onderkant zo'n hand en daar rechts hebben het ook een soort ja twee uitsteeksel 
A: 	okee 
B: 	deze hebben een soort van staaf die eruit komen onderaan die naar de toe wijzen 
B: 	en aan de zijkant komen er ook zoiets uit wat aan de rechterkant ook naar je toe wijzen 
B: 	bovenop zijn er twee ruit en dan 
B: 	ja 
B: 	ja d 
B: 	deze hebben de ruit bovenop met de staaf eruit 
B: 	en aan de onderkant en aan de rechterkant komen er een soort van iets uit wat naar jou toe wijzen 
B: 	ja daarachter soort van twee ruit 
B: 	en aan de een kant komen er die blok uit en aan de ander kant 
B: 	ja c 
B: 	dit zijn de met de twee ruit bovenop en waar de blok uitkomen 
A: 	ja welk zijn het ook alweer 
A: 	ja 
A: 	ja en dus een soort dinge 
A: 	ja dat zijn nummer acht 
A: 	ja dat zijn dat cocktail citroen wat aan het beker zitten zeggen maar 
A: 	waar zijn die 
A: 	ja nummer drie 
A: 	cocktailtje citroen aan het beker 
A: 	ja dat zijn nummer vijf 
