B: 	zijn dat die soort van toeter of 
B: 	ja ja dat zijn L 
B: 	het zijn die trompetachtige met dat plateau en het dinge waar dat 
A: 	deze ik ik beschrijf hem als zeggen maar zijn een dakraam die die licht weergeven 
A: 	op op het blok zeggen maar 
A: 	ja hebben een leuk ja 
A: 	ja 
B: 	C 
A: 	ja 
A: 	dat zijn 
A: 	Pacman 
A: 	leuk 
A: 	juist ja 
A: 	dat zijn het dakraam met het dienblad 
A: 	dat zijn de Pacman oké 
A: 	zijn nummer zeven 
B: 	het zijn die toeter met dat plateaut 
A: 	zijn het dakraam en en het dienblad 
A: 	ja 
B: 	A 
A: 	nummer één 
B: 	ja 
B: 	het zijn die met die trompet toeterachtig dinget 
A: 	oké 
A: 	ik hebben het dienblad 
A: 	ja nummer dertien 
