A: 	ja ja ja maar dan met zo'n van die van die Pippi Langkousdingen 
A: 	ja oké 
A: 	dat zijn bij mij nummer vijf 
B: 	oké dit zijn een soort van ja kopje met twee handvaet denken ik 
B: 	staan boven op één of een vierkant ding 
B: 	zitten een rood ronde plaat aan de voorkant 
B: 	ja precies ja 
B: 	met die sprieet 
B: 	ja 
B: 	J 
A: 	die met die twee paardenstaart en dat rond aan de voorkant 
A: 	ja nummer elf 
B: 	ja de ding met die spriet aan de zijkant die op een op een vierkant plateau staan 
A: 	die met die twee staart 
B: 	ja 
B: 	P 
A: 	nummer negen 
B: 	dit zijn weer die op een op een plateau staan met met die spriet aan de zijkant sorry 
A: 	die met die twee die twee ja die staart 
A: 	ja 
B: 	met die spriet 
B: 	L 
