B: 	ja 
B: 	oké 
B: 	ja 
B: 	ja 
B: 	letter I 
A: 	ja deze lijken op een eend van de zijkant hij hebben rechts twee gelijk blok aan de bovenkant een trapezium 
A: 	en dan ja link nog een uitsteeksel en onder ook nog 
B: 	ik vinden het op een deur lijken je hebben link een klink 
B: 	die je kunnen doen en dan rechts hebben je de cilinder die zorgen dat de deur kunnen draaien 
B: 	en daarbovenop staan een trapezium 
B: 	het zijn het beker 
B: 	en die hebben een trapezium 
B: 	en 
B: 	je 
B: 	ik denken aan van een onderzeeër maar 
B: 	ja 
A: 	ja ik weten welk je bedoelen 
A: 	yes ik hebben hem 
A: 	dat zijn twee voor mij 
B: 	ja 
B: 	sorry letter M 
B: 	ja 
B: 	nee 
A: 	dit zijn die met de trapezium aan de bovenkant en twee gelijk rechts 
B: 	het zijn wat ik die onderzeedeur vinden met trapezium op hem 
A: 	yes 
A: 	dat zijn negen voor mij 
A: 	dit zijn die naast die doorboord neus met de trapezium en de twee ding aan de zijkant 
B: 	yes 
B: 	ja 
B: 	F 
A: 	ja 
A: 	dat zijn zes voor mij 
B: 	de deur van de onderzeeër 
