B: 	ja volgens mij weten ik hem al 
B: 	c 
B: 	die ruit met die twee uitstekend ding bovenop 
B: 	die soort van vleugel wat je zeggen 
B: 	onderaan zitten zo gehoekken staafje 
B: 	die een negentig graad eigenlijk naar jou toekomen 
B: 	en aan de rechterkant ook zo'n een negentig graad die ook alleen aan de zijkant zitten die 
B: 	ja ja ja 
A: 	hier zijn van alles aan de hand 
A: 	aan de onderkant zijn er een één ja lijken wel een soort afvoerbuis 
A: 	en een soortgelijk buis zijn er aan de rechterkant 
A: 	en bovenop zijn er een een ruit 
A: 	met aan beide kant een soort uitstulping die ook steeds breder worden 
A: 	en in het midden van de emmer , een beetje naar rechts kantelen , zijn er een soort pinokkioneus 
A: 	zo'n zo'n hout 
B: 	okee 
B: 	een ruit met twee ja ja b 
B: 	ik hebben die ruit bovenop met die twee vleugel die twee dos die groot worden 
B: 	ja 
B: 	dat zijn p 
B: 	de de ruit met de vleugel aan de bovenkant 
A: 	voe hebben hij , even kijken 
A: 	en hebben hij een soort ruitvorm bovenop en dan twee staaf 
A: 	ja 
A: 	precies en afzien daarvan hebben hij een soort houten pinokkioneus 
A: 	en een handvat onder en aan de rechterkant 
A: 	ja 
A: 	nummer zestien 
A: 	pfoe ja deze zijn ja twee nee wachten twee ruit bovenop en uit die ruit komen die 
A: 	ja die groot worden 
A: 	een poo onder , een poo aan de rechterkant en een soort neusje 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	nummer vijfteen 
A: 	deze zijn met de ruit en de ook met die groot worden kubus 
A: 	een voe 
A: 	ja 
A: 	ah 
A: 	nog één keer , zullen je het kunnen herhalen 
A: 	ja 
A: 	ik zitten te kijken naar die pinokkioneus , wachten ik zijn het even kwijt 
A: 	ja 
A: 	hij hebben een voe , dat zijn die theekan , of niet 
A: 	met dat 
A: 	nee dat niet , nee 
A: 	pinokkio , waar zijn pinokkio 
A: 	aha 
A: 	aan de voorkant rechts 
A: 	ah met een met een met een goo of niet ? nee 
A: 	nee 
A: 	links en rechts 
A: 	met die ruit 
A: 	ah die , met die ruit , en onderkant dat voe en die , ja precies 
A: 	met die ruit 
A: 	ja ja ja 
A: 	nummer tien 
