A: 	oké deze hebben een soort punt bovenop 
A: 	en dan een een soort vierkant aan de rechterkant dat zo steeds breder worden 
B: 	lijken een beetje op een hoed vinden ik 
B: 	of niet 
B: 	ja 
B: 	met vier hoek maar dan geen vierkant 
B: 	oké 
B: 	dat zijn bij mij J 
A: 	ja dat zijn bij mij zes 
B: 	deze hebben een soort driehoek aan de bovenkant 
B: 	en het vierhoekding wat niet vierkant zijn of geen kubus zijn aan beetje voorkant rechts 
B: 	en dan links die ja wolk of zoiets of hoe noemen je het 
B: 	ja 
B: 	en dan aan linksonder nog een schijf 
A: 	deze hebben die punt bovenop 
A: 	en dat vierkant dat steeds breder worden aan de rechterkant 
A: 	ja dat zijn bij mij tien 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	deze zijn met de driehoek aan de bovenkant en de schijf aan de onderkant en rechts het vierhoek en link de 
B: 	ja 
A: 	die met die punt bovenop en dat vierkant aan de zijkant dat steeds breder worden 
A: 	ja dat zijn nummer tien 
B: 	ja 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn met dat wolk aan de linkerkant en een driehoekje bovenop 
