A: 	ik vinden dit een stopcontact er zitten twee balk zo naar wachten even voor jou zijn dat de ander kant 
A: 	er zitten twee balk naar de zijkant 
A: 	en zo'n zo'n vorm aan de bovenkant 
A: 	en er zitten nog een gek uitsteeksel aan 
A: 	ja zo'n uitlaa aan de onderkant en dan zeggen maar voor mij zijn het die 
B: 	met een soort van pionnetje bovenop 
B: 	die die waar het topje van missen dat zijn zijn dat nou een L of een I 
B: 	zitten er een I bij ? dat zijn een I 
A: 	ja 
A: 	oké nummer twee 
A: 	dit zijn de stekker 
B: 	deze hebben zegmaar een pilon en dan zijn dat bovenkan weer afsnijden en rechts twee blok eruit 
B: 	ja dat ja precies 
B: 	M 
A: 	ja nummer negen 
A: 	dit zijn het de stekker stekker 
B: 	pilonne wat zo aan de bovenkant zijn afknipken en twee vierkant dinget rechts de istek 
B: 	F 
A: 	ja zes 
B: 	half pilonne wat af zijn snijden aan de bovenkant iste 
