B: 	ik kunnen hem niet vinden 
B: 	okee dat zijn e denken ik 
A: 	deze hebben een hendel bovenop zijn hoofd en een hendel aan de zijkant 
A: 	en aan de kant aan ons kant waar wij van kijken staan een soort toren ja ik weten niet hoe ik het moeten zeggen een aflopen vorm 
A: 	en aan de achterkant zitten een soort slurf 
A: 	misschien hebben je nog een vraag ik weten niet of dit heel duidelijk zijn 
A: 	de hendel zijn soortgelijk zijn dezelfde 
A: 	twee 
A: 	boven en link 
A: 	ja 
A: 	we mogen ook 
A: 	ja nee geen knop 
A: 	nee het zijn Ronde 
A: 	we mogen ook gebaar volgens wij wel 
A: 	ja 
A: 	zo'n ovaal vorm 
A: 	ik noemen het maar hendel 
A: 	recht bovenop 
A: 	en links onder 
A: 	ja 
A: 	slurfje staar 
B: 	deze hebben dat groot vlak waar je af tegen ja die kubus weer rechts 
B: 	en een handvat boven en dan één link 
B: 	met dat klein uitsteeksel boven link 
B: 	J 
A: 	ik zijn aan het zoeken 
A: 	ja 
A: 	dat zijn dertien 
B: 	de kubus rechts en de twee handvat boven en link met een uitsteeksel 
B: 	waar vinden ik deze 
B: 	ik kunnen hem niet vinden 
B: 	g 
B: 	kubus rechts handvat boven en handvat link 
A: 	ja deze deze hebben weer die ja twee hendel noemen ik het boven en links en een slurfje aan de achterkant 
A: 	en aan de voorkant 
A: 	ja 
A: 	en aan de voorkant 
A: 	vierkant schroef okee ja die 
A: 	ja 
A: 	ja drie 
A: 	twee hendel 
A: 	en vierkant schroef aan de voorzijde 
A: 	Rechtervoorzijde 
A: 	en het slurfje 
A: 	we hebben we ook nog geen goed naam voor die 
A: 	hendel recht bovenop het hoofd 
A: 	ja 
A: 	okeeen ik gaan het proberen konijn 
A: 	ja 
A: 	ik willen even zeker weten dat ik nu de goed hebben 
A: 	ja en één en één en een vierkant schroef 
A: 	ja negen 
