A: 	deze zijn met de eigenlijk de driehoek of pyramide aan de bovenkant van 
A: 	ja 
A: 	en aan de onderkant zitten een soort rond link zitten een soort ja pin ja 
A: 	zestien 
B: 	ja 
B: 	ja 
B: 	soort verrekijker 
B: 	ja 
B: 	ja 
B: 	meerdere vorm 
B: 	ik hebben hem denken ik al 
B: 	ja 
B: 	ik gaan voor b 
A: 	dit zijn de pyramide aan de bovenkant 
A: 	ja ja 
B: 	deze hebben een een één pyramidevorm bovenop 
B: 	en een soort verrekijker aan de linkerkant 
A: 	ja nummer vier 
B: 	een rond schijf onderaan 
B: 	en een een object waar we allebei nog niet uit zijn komen aan de ander kant 
B: 	ja 
B: 	ja 
A: 	ja die wiskundig pyramide aan de 
B: 	uhu 
B: 	ja dat zijn voor mij j 
A: 	ja 
A: 	vijf 
B: 	pyramide op de bovenkant 
B: 	klein rond schijf aan de onderkant 
B: 	ondefinieerbaaren object aan rechterkant 
B: 	ja dat zijn p 
B: 	ondefinieerbaaren object en pyramidevorm bovenop 
