B: 	oké ik soort stellage om hem heen bouwen , om het bak , dus nou deze deze leunt werkelijk of hij worden echt in plaats houden door de stellage , zo zien ik het 
B: 	en ja erbovenop zitten een soort vierkantje wat niet geen vierkant zijn 
B: 	het doen veel aan een houtversnipperaar denken 
B: 	waar je zo iets in moeten douwen 
B: 	ja hij hangen echt inderdaad 
B: 	goed zeggen 
A: 	wow 
A: 	zijn wachten een soort van tipitentje bovenop 
A: 	of hebben we die al hebben 
A: 	ik weten niet veel 
A: 	nee 
A: 	ah wachten iets met een tafel zeggen je toch 
A: 	wachten kunnen je hem nog een keer omschrijven 
A: 	je 
A: 	linksbof zeggen maar boven dat plateaut 
A: 	ah en een kop op de tafel zo'n schaal 
A: 	aan de rechterkant 
A: 	zeggen maar die twee poo 
A: 	die zien je 
A: 	ja dan 
A: 	dat zijn het tafel 
A: 	ja 
A: 	en dan daarbovenop staan een soort van schaaltje 
A: 	ja okee nee dan weten ik welk 
A: 	ik gaan voor nummer vier 
B: 	ja ja die zijn echt onhandig 
B: 	zijn O 
A: 	okee dit doorgaan dus over het tafel die een beetje bovenaan zweeft op het kop 
A: 	met de twee poo 
A: 	het gek staart daarachter 
A: 	en het kop of het schaal erop 
A: 	ja 
B: 	bak met een bank om hem heen bouwen 
B: 	en de houtversnipperaar 
A: 	waar staan die 
A: 	ik hebben hem ik mijn hoofd ik hebben hem in mijn hoofd ah daar 
A: 	dat zijn nummer elf 
B: 	H 
B: 	nou volgen weer 
B: 	ja bak met houtversnipperaar en stellage 
B: 	om hem heen bouwen 
A: 	deze zijn met het tafel met de twee poo 
A: 	staart aan de achterkant en een schaaltje erop 
B: 	ja de K 
A: 	ah 
A: 	nummer veertien 
A: 	tafel twee poo schaal bovenop 
A: 	staart 
