B: 	geel knop 
B: 	ik weten niet zo goed wat dit zijn 
B: 	dit zijn de weinig uitbundig vorm maar hij hebben een balk plat erop liggen 
B: 	ja dat denken ik wel ja 
A: 	ja ja ja dus een balk dat dat op hem zitten zeggen maar 
A: 	hij hebben een soort van ik vinden het zo'n zo'n zo'n grijpen dinge zo'n machine 
A: 	dat zijn zijn arm zeggen maar 
A: 	zijn zijn zijn arm zijn zo'n cup zeggen maar 
A: 	of zo'n zo'n zo'n hoekig Cup waar waarmee je zeggen maar zand opgraaft en zo 
A: 	oké 
A: 	dat zijn op een gezicht lijken dat 
A: 	ja 
A: 	oké nee nee goed dan weten ik dat 
A: 	misschien zitten we dan toch niet niet gelijk 
A: 	ja 
A: 	een trechteruitsteeksel 
A: 	oké nee we zitten verkeerd 
A: 	een vvormig 
A: 	link hebben die een neus 
A: 	rechts hebben die een vvormig uitsteeksel 
A: 	nee 
A: 	er zitten nog een staafje in het uitsteeksel 
A: 	wachten nee nee we zitten wel gewoon bij dezelfde 
A: 	ja maar die zijn die zijn die zijn rechts rechtsvoor zeggen maar zijn dat Vhoekig 
A: 	ja nee nee ik vinden dat we bij dezelfde 
A: 	oké 
A: 	nee klpen hij zijn wel uniek 
A: 	dat zijn die balk eigenlijk gewoon hè ? die balk zijn het enig 
A: 	nee oké 
A: 	nummer achten dus 
B: 	waar zijn dat kreng ? ja E 
B: 	het zijn die een beetje nietszeggend met die balk erbovenop 
A: 	ja ik hebben die die die balk op het hoofd 
A: 	ja ja 
B: 	waar zijn die 
B: 	E 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en en heel raar ja 
A: 	vierkant hanenkam noemen we hem ja 
A: 	dat zijn nummer één 
B: 	het zijn die met die balk erbovenop die een beetje nietszeggend 
A: 	met de met de balk als hanenkamp 
B: 	waar zijn die balk 
B: 	ja vinden O 
A: 	wat een beschrijving ja 
A: 	ja nummer zestien 
A: 	kloppen dan wel 
A: 	ik hebben de de de rechthoekig hanenkam 
