A: 	ja 
A: 	ja zo'n tafel zo'n bank ja 
A: 	met nog zo'n klein sprie aan de achterkant 
A: 	ja 
A: 	zo'n bak 
A: 	ja 
A: 	dat zijn twaalf 
B: 	okee 
B: 	deze ik moeten bij deze wel een beetje denken aan een soort kop met een staart aan de achterkant 
B: 	en aan de voorkant zijn het net alsof die een soort van alsof die in een tafel hangen 
B: 	met een omdraaien piramide op het tafel 
B: 	afsnijden 
B: 	ja dus kenmerken zijn hiervoor wel een beetje een staart aan de achterkant en een soort tafel aan de voorkant 
B: 	en het zijn niet degeen met het rond tafeltje 
B: 	nee het zijn zonder een tipiten 
B: 	ja ja 
B: 	ja een kop met linksachter een soort staar 
B: 	ja 
B: 	ja precies 
B: 	even kijken 
B: 	ja 
B: 	ja je zien twee poo inderdaad en dat zijn het tafel 
B: 	ja ja precies 
A: 	dit zijn de een met dat met dat bank aan de voorkant 
B: 	ja 
B: 	okee dat zijn p 
A: 	ja 
A: 	dat zijn vijf 
B: 	dit zijn degeen met een klein staart aan de achterkant en een tafel aan de voorkant met een schaal 
B: 	erop 
B: 	where did it go ja 
A: 	dit zijn met dat bank aan de voorkant met dat bak erop 
A: 	ah het bank 
A: 	twee 
B: 	ja 
B: 	zoeken zoeken zoeken zoeken waar zijn je 
B: 	dat zijn voor mij n 
A: 	dit zijn met dat met dat bank ervoor 
A: 	tafel ervoor 
B: 	hee ze verspringen 
B: 	ik hebben hier een diegene met dat staart aan de achterkant 
B: 	en een een tafel aan de voorkant met een schaaltje erop 
B: 	ja 
B: 	dat zijn d 
