B: 	hij staan op een soort van ovaal ding met een rond schijf erachter 
B: 	afhangen erachter 
B: 	en er steken een ja één rond ding links uit 
B: 	en een soort van lepel Erbovenin staan 
B: 	ja precies 
B: 	ja 
A: 	uitein van een lepel 
A: 	zijn hebben die zo'n soort dienblad of zo'n soort horizontaal schijf eraan zitten 
A: 	daarbovenop zitten 
A: 	ja 
A: 	ja ja ja ja ik 
A: 	nummer dertien denken ik 
B: 	oeh zijn verschuiven 
B: 	zijn het er één die we al hebben hebben toevallig 
B: 	dat ovaal ding weer waar die op staan of zijn dat weer een ander 
B: 	linkerkant een soort van potlood en een soort van lepeltje erin 
B: 	ja 
B: 	O 
A: 	nu hebben ik een soort pinokkio hij hebben een lang cilinder links 
A: 	een rond erachter en zo'n lepel erbovenop ook nog 
A: 	en daaronder zitten een soort breed nek 
A: 	ja zijn we mee beginnen 
B: 	dit zijn weer met dat potlood dat eruit steken een rond schijf aan de achterkant en hij staan weer op zo'n oor ovaal ding 
B: 	dat zijn de enig waar dat ovaal ding doorheen steken 
B: 	ja 
A: 	ja 
A: 	ja ja ja 
A: 	ja dat zijn nummer acht 
B: 	potlood aan de linkerkant 
B: 	ja 
B: 	C 
B: 	ja dit zijn weer dat ding dat op zo'n ding staan met een potlood links en een rond schijf achter 
B: 	en een lepeltje erin 
A: 	ik hebben die met die één die we doen een soort van pinokkio 
B: 	ja 
B: 	C 
B: 	oké 
A: 	nummer zeven 
A: 	ik hebben Pinokkio 
A: 	ja een half rond erop ja 
A: 	we did it 
