A: 	die getorderen 
A: 	ja precies 
A: 	dat zijn vier 
A: 	die wokkel 
B: 	o ja dit doen me een beetje denken aan een juichen poppe of zo die ook een beetje aan het dansen zijn of zo want er zitten 
B: 	onder dat ja gewoon dat bol zeggen maar zitten een draaien iets zeggen maar op een op een driehoekig plateau 
B: 	en daarboven zitten een vierkan en link zitten nog een uitstekel en middenop het lichaam zeggen maar zitten ook een hoofd een vierkan 
B: 	tenminste bij deze zijn alleen dat aan de onderkant vooral heel erg iets uitsteken dat een beetje zo ronddraaien 
B: 	ja 
B: 	ja 
B: 	o ja ok ik snapen inderdaad wel wat je zien ja ja bij mij zijn het C 
B: 	sorry ja dat zijn waar ook 
A: 	ja dit zijn weer met dat torderen ding 
A: 	ja 
B: 	even kijken waar die dat zijn bij mij A 
B: 	ok 
A: 	met die wokkel 
A: 	oké dat zijn tien 
A: 	ja of een trofee of zo of iets 
A: 	ja ja ja 
A: 	ja 
A: 	ja zoiets 
B: 	o dit zijn die een wat jij denken van achterkant een hond en waarbij ik een juichen poppet zien 
B: 	of wat zijn het dan zijn een dier in ieder geval dat achter aan zij zicht of het achterzicht van iets 
B: 	o of omgekeerd hond dan ja 
B: 	ok bij mij K 
A: 	ja dit zijn die trofee met het getordeerd 
A: 	de trofee 
A: 	vier 
B: 	even kijken 
B: 	L bij mij 
B: 	ja ik weten niet beetje wel met kort armpjes maar beetje zo ja ik weten niet zijn wel met een beetje fantasie ja 
B: 	ja 
B: 	ja dan ja dat zijn dan makkelijk manier om het te onthouden 
A: 	ja dit zijn die trofee met die wokkel 
B: 	o dit zijn de omgekeerd hond voor jou en het juichen poppe voor mij 
B: 	ok bij mij E 
B: 	o daar F 
