B: 	onderaan zitten een draaien staafje met daaronder een driehoekig platform 
B: 	het raar voetstuk op die driehoek 
B: 	een driehoek ja ja ja ja sorry k 
A: 	ja 
A: 	ja het voet zijn zo'n driehoekje 
A: 	ja 
A: 	lijken een beetje op een vogel vinden ik 
A: 	dertien 
B: 	ik hebben dat getwiste draaideen dinge aan de onderkant met 
B: 	wat zeggen je 
B: 	ja op de driehoek ja kloppen 
B: 	ja I 
A: 	ja dit zijn dan ja de vogelachtig figuur met een klein staart , één poot en de de driehoekvorm als als voet of als 
A: 	staart link en een soort vleugel in het midden en dan aan de rechterkant een soort kop 
B: 	ik hebben de dat dat twi getwisten ding op een driehoekje 
B: 	ja 
B: 	I 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn de vogel 
A: 	met één been 
A: 	ja nummer twee 
A: 	dit zijn de vogel 
