Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	ja dit zijn de gieter	19	B	11, 29
3	3	ja dit zijn	19	B	11, 24, 29
2	3	gieter met dat	14	B	11, 24
3	2	met dat	20	B	11, 24, 30
2	2	aan de	2	B	0, 1
2	2	dat je	20	B	11, 30
2	2	dat zijn	6	B	21, 26
2	2	hij hebben	4	B	1, 4
2	2	kunnen klappen	7	B	24, 30
2	2	of zo	10	B	2, 11
7	1	ja	19	B	11, 12, 13, 21, 24, 25, 29
6	1	zijn	25	B	5, 11, 21, 24, 26, 29
4	1	een	5	B	0, 1, 2, 4
4	1	gieter	28	B	2, 11, 24, 29
3	1	hebben	5	B	0, 1, 4
3	1	het	6	B	0, 2, 5
3	1	kunnen	20	B	11, 24, 30
3	1	vlak	12	B	0, 1, 11
2	1	hij	4	B	1, 4
2	1	o	2	B	1, 2
2	1	ook	4	B	2, 5
2	1	zo	10	B	2, 11

