Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	op een mouw misschien	2	A	13, 14
3	2	iets vasthouden	23	A	12, 28, 34
2	2	dat raar	5	A	23, 27
2	2	dat zijn	10	A	16, 25
2	2	deze zijn	10	A	18, 27
2	2	heel compact	17	A	18, 34
2	2	ja en	4	A	20, 23
2	2	raar armpje	4	A	20, 23
2	2	zijn die	8	A	27, 34
6	1	zijn	19	A	16, 18, 20, 25, 27, 34
6	1	zo	23	A	12, 15, 19, 24, 27, 34
5	1	dat	12	A	16, 19, 23, 25, 27
4	1	hij	21	A	12, 19, 20, 32
4	1	vasthouden	23	A	12, 19, 28, 34
3	1	alsof	17	A	12, 14, 28
3	1	die	8	A	27, 28, 34
3	1	een	8	A	13, 14, 20
3	1	en	12	A	20, 23, 31
3	1	het	8	A	12, 14, 19
3	1	lijken	7	A	13, 14, 19
3	1	nummer	18	A	16, 25, 33
3	1	op	8	A	13, 14, 20
3	1	zo'n	21	A	11, 20, 31
2	1	armp	5	A	27, 31
2	1	hier	4	A	20, 23
2	1	zeggen	7	A	12, 18
2	1	zoiets	8	A	12, 19

