Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	3	twee van die	16	16	2	A	1, 12, 16
2	2	3	aan de rechterkant	20	21	1	A	0, 20
5	4	2	aan de	20	31	3	A	0, 1, 2, 20, 30
4	4	2	dat zijn	28	21	2	A	13, 26, 28, 33
3	3	2	dit zijn	16	12	1	A	14, 16, 25
3	1	2	van die	16	16	2	A	1, 12, 16
2	2	2	ja ja	7	4	1	A	4, 7
2	2	2	zijn een	16	4	1	A	13, 16
16	14	1	ja	6	30	2	A	3, 4, 6, 7, 10, 11, 12, 13, 15, 21, 22, 24, 26, 27, 29, 32
9	8	1	een	8	20	2	A	1, 2, 8, 13, 16, 17, 18, 19, 20
8	8	1	met	17	34	2	A	1, 14, 17, 22, 23, 25, 30, 34
8	2	1	zijn	16	21	2	A	13, 14, 16, 20, 25, 26, 28, 33
7	7	1	en	8	26	3	A	0, 1, 2, 8, 14, 20, 25
6	2	1	dat	13	23	1	B	11, 13, 20, 26, 28, 33
6	3	1	die	16	25	3	A	1, 12, 14, 16, 23, 25
6	3	1	twee	16	26	4	A	0, 1, 12, 14, 16, 25
5	2	1	van	8	16	1	A	1, 8, 9, 12, 16
4	4	1	bovenop	16	25	2	A	1, 14, 16, 25
4	4	1	hebben	8	21	1	A	0, 8, 16, 20
4	4	1	onder	19	26	2	A	0, 14, 19, 25
3	3	1	er	17	18	2	A	0, 2, 17
3	3	1	haak	25	7	2	B	19, 20, 25
2	2	1	staan	17	17	1	A	1, 17

