ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
007008_and_069070_9_tsv	A	B	0.6	0.40789473684210525	0.5448028673835126	0.4	0.4921259842519685	0.4551971326164875	0.3958333333333333	0.4222222222222222	61.0	0.1783625730994152	0.7105263157894737	1.1166106666673492	1.4035087719298245	3.0	55.0	0.1746031746031746	0.6603174603174603	1.4871952437734597	1.6299212598425197	4.0
153154_and_039040_4_tsv	A	B	0.21739130434782608	0.44041450777202074	0.7283018867924528	0.782608695652174	0.25	0.27169811320754716	0.3088235294117647	0.4883720930232558	46.0	0.22549019607843138	0.8088235294117647	1.5767147226393263	1.6804123711340206	7.0	14.0	0.14583333333333334	0.4270833333333333	1.0136635125593596	1.3333333333333333	3.0
pair22_and_pair18_08_tsv	A	B	0.7916666666666666	0.32051282051282054	0.6290322580645161	0.20833333333333334	0.4673913043478261	0.3709677419354839	0.3230769230769231	0.4117647058823529	35.0	0.20588235294117646	0.6882352941176471	1.5114795421086686	1.625	4.0	16.0	0.13675213675213677	0.46153846153846156	1.3663146570363986	1.5625	3.0
131132_and_039040_1_tsv	A	B	0.25	0.5555555555555556	0.4838709677419355	0.75	0.3333333333333333	0.5161290322580645	0.52	0.48148148148148145	8.0	0.14814814814814814	0.46296296296296297	1.4604846813131116	1.9230769230769231	4.0	10.0	0.16393442622950818	0.5081967213114754	1.3421389558735095	1.5714285714285714	3.0
037038_and_099100_5_tsv	A	B	0.7619047619047619	0.25	0.4835164835164835	0.23809523809523808	0.5319148936170213	0.5164835164835165	0.4883720930232558	0.4883720930232558	18.0	0.1651376146788991	0.5779816513761468	1.40512406115886	1.564102564102564	4.0	20.0	0.18018018018018017	0.6396396396396397	1.313898762228919	1.5319148936170213	5.0
009010_and_021022_16_tsv	A	B	0.5581395348837209	0.32388663967611336	0.6551724137931034	0.4418604651162791	0.5076923076923077	0.3448275862068966	0.36046511627906974	0.5344827586206896	55.0	0.21484375	0.796875	1.4858276473669054	1.6141732283464567	7.0	28.0	0.16666666666666666	0.5654761904761905	1.7363641654734503	1.849056603773585	5.0
107108_and_143144_14_tsv	A	B	0.5952380952380952	0.2947976878612717	0.5148809523809523	0.40476190476190477	0.4601226993865031	0.4851190476190476	0.4186046511627907	0.45	36.0	0.18461538461538463	0.5948717948717949	0.9795865736461054	1.2941176470588236	4.0	30.0	0.16666666666666666	0.5833333333333334	1.039169693500612	1.3611111111111112	5.0
pair09_and_pair17_14_tsv	A	B	0.8333333333333334	0.1678832116788321	0.6342592592592593	0.16666666666666666	0.3924050632911392	0.36574074074074076	0.2	0.3611111111111111	29.0	0.19205298013245034	0.6357615894039735	1.0913133176162855	1.3636363636363635	4.0	22.0	0.2268041237113402	0.6597938144329897	1.1538687240687704	1.4222222222222223	3.0
057058_and_107108_14_tsv	A	B	0.5625	0.40298507462686567	0.32057416267942584	0.4375	0.19718309859154928	0.6794258373205742	0.4	0.2413793103448276	16.0	0.18823529411764706	0.5411764705882353	0.6769759597680174	1.2307692307692308	4.0	30.0	0.189873417721519	0.689873417721519	1.1662834764408505	1.3866666666666667	4.0
pair15_and_pair17_15_tsv	A	B	0.47368421052631576	0.4444444444444444	0.5232558139534884	0.5263157894736842	0.2926829268292683	0.47674418604651164	0.3902439024390244	0.37209302325581395	22.0	0.21359223300970873	0.6504854368932039	1.4689980138731564	1.6829268292682926	6.0	21.0	0.21	0.58	0.6581912658132185	1.1702127659574468	2.0
025026_and_011012_12_tsv	A	B	0.625	0.2112676056338028	0.5220588235294118	0.375	0.6153846153846154	0.47794117647058826	0.3125	0.5172413793103449	13.0	0.15853658536585366	0.4146341463414634	1.1226079684006318	1.375	3.0	11.0	0.14666666666666667	0.68	1.9295015960810527	2.260869565217391	5.0
137138_and_069070_11_tsv	A	B	0.17391304347826086	0.5444444444444444	0.34615384615384615	0.8260869565217391	0.08823529411764706	0.6538461538461539	0.45	0.2571428571428571	23.0	0.20353982300884957	0.6548672566371682	1.4345608142862891	1.5833333333333333	5.0	29.0	0.15760869565217392	0.7336956521739131	1.53283287382087	1.7972972972972974	7.0
pair05_and_pair12_03_tsv	A	B	0.0	0.2235294117647059	0.6589147286821705	1.0	0.06818181818181818	0.34108527131782945	0.20833333333333334	0.3225806451612903	12.0	0.12631578947368421	0.47368421052631576	1.2353480179777263	1.4642857142857142	3.0	9.0	0.15	0.35	0.7871265862012689	1.2352941176470589	2.0
051052_and_097098_3_tsv	A	B	0.4666666666666667	0.35714285714285715	0.4	0.5333333333333333	0.32142857142857145	0.6	0.3939393939393939	0.3023255813953488	11.0	0.15714285714285714	0.5	1.0676111603502403	1.434782608695652	3.0	17.0	0.17708333333333334	0.59375	1.1595547523787308	1.5294117647058822	4.0
097098_and_109110_4_tsv	A	B	0.9090909090909091	0.08064516129032258	0.5486725663716814	0.09090909090909091	0.39215686274509803	0.45132743362831856	0.2702702702702703	0.30303030303030304	10.0	0.136986301369863	0.5068493150684932	0.9530138853315971	1.9473684210526316	8.0	5.0	0.07936507936507936	0.3492063492063492	0.8366407419411672	1.2666666666666666	2.0
pair15_and_pair17_01_tsv	A	B	0.18181818181818182	0.4383561643835616	0.5328467153284672	0.8181818181818182	0.109375	0.46715328467153283	0.3225806451612903	0.3448275862068966	14.0	0.17073170731707318	0.7439024390243902	1.9037164512140086	2.44	9.0	15.0	0.19230769230769232	0.6666666666666666	1.746307034008563	1.8928571428571428	4.0
039040_and_005006_15_tsv	A	B	0.6	0.3135593220338983	0.5488372093023256	0.4	0.28865979381443296	0.4511627906976744	0.29508196721311475	0.32727272727272727	26.0	0.203125	0.625	0.9837874285347632	1.4181818181818182	7.0	21.0	0.1794871794871795	0.5470085470085471	0.9503343840316568	1.3255813953488371	4.0
pair07_and_pair20_05_tsv	A	B	0.2631578947368421	0.6585365853658537	0.12275449101796407	0.7368421052631579	0.16723549488054607	0.8772455089820359	0.7619047619047619	0.1415929203539823	9.0	0.13043478260869565	0.43478260869565216	1.2751629827848567	1.6666666666666667	5.0	63.0	0.21	0.75	1.4992482894945103	1.6170212765957446	4.0
pair07_and_pair20_11_tsv	A	B	0.6190476190476191	0.31746031746031744	0.35195530726256985	0.38095238095238093	0.3275862068965517	0.6480446927374302	0.4722222222222222	0.29310344827586204	9.0	0.12162162162162163	0.44594594594594594	1.4466166676282082	1.6666666666666667	4.0	20.0	0.15384615384615385	0.5307692307692308	1.5391173550544799	1.8055555555555556	3.0
