Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	heel veel moeite mee hebben	8	A	34, 41
2	4	aan de linkerkant een	11	A	18, 28
2	4	het zijn de bak	2	A	27, 28
2	4	zitten aan de linkerkant	2	A	2, 3
5	3	aan de linkerkant	42	A	2, 3, 18, 28, 43
3	3	zijn de bak	12	A	17, 27, 28
2	3	, en dan	2	A	6, 7
2	3	de bak en	29	A	0, 28
2	3	die naar rechts	2	A	21, 22
2	3	dit zijn de	11	A	7, 17
2	3	en er zitten	20	A	1, 20
2	3	hij leunt naar	6	A	0, 5
2	3	zijn een vierkant	2	A	13, 14
10	2	de bak	42	A	0, 2, 3, 7, 9, 14, 17, 27, 28, 41
7	2	de linkerkant	61	A	2, 3, 18, 28, 43, 61, 62
5	2	aan de	42	A	2, 3, 18, 28, 43
4	2	het zijn	24	A	5, 6, 27, 28
3	2	dit zijn	18	A	0, 7, 17
3	2	en dan	23	A	6, 7, 28
3	2	er zitten	20	A	1, 3, 20
3	2	waar we	25	A	34, 41, 58
3	2	zijn een	5	A	13, 14, 17
2	2	, zo'n	2	A	6, 7
2	2	de leuning	6	A	2, 7
2	2	die leunlen	3	A	59, 61
2	2	een recht	10	A	19, 28
2	2	en de	12	A	3, 14
2	2	erdoorheen gaan	2	A	21, 22
2	2	hebben ,	40	A	2, 41
2	2	zijn dat	20	A	17, 36
2	2	zijn weer	59	A	0, 58
2	2	zitten een	20	A	1, 20
16	1	de	63	A	0, 2, 3, 7, 9, 14, 17, 18, 20, 27, 28, 41, 42, 43, 61, 62
16	1	ja	60	A	4, 6, 10, 13, 15, 16, 24, 25, 26, 27, 29, 30, 34, 45, 48, 63
14	1	zijn	61	A	0, 5, 6, 7, 13, 14, 17, 23, 27, 28, 34, 36, 58, 60
11	1	bak	42	A	0, 2, 3, 6, 7, 9, 14, 17, 27, 28, 41
11	1	een	59	A	0, 1, 6, 13, 14, 17, 18, 19, 20, 28, 58
11	1	en	29	A	0, 1, 3, 5, 6, 7, 14, 20, 21, 23, 28
9	1	het	57	A	3, 5, 6, 9, 23, 27, 28, 43, 59
8	1	die	41	A	21, 22, 28, 42, 58, 59, 60, 61
6	1	aan	42	A	2, 3, 18, 23, 28, 43
6	1	dat	43	A	17, 23, 34, 36, 41, 59
5	1	leunlen	60	A	2, 7, 41, 59, 61
5	1	naar	62	A	0, 5, 21, 22, 61
5	1	zitten	28	A	1, 2, 3, 20, 28
4	1	dan	23	A	6, 7, 18, 28
4	1	dit	18	A	0, 6, 7, 17
4	1	er	28	A	1, 3, 20, 28
4	1	hebben	40	A	2, 18, 34, 41
4	1	pilaar	43	A	0, 9, 28, 42
4	1	vierkant	31	A	13, 14, 28, 43
4	1	waar	57	A	2, 34, 41, 58
4	1	we	31	A	28, 34, 41, 58
3	1	eigenlijk	19	A	2, 6, 20
3	1	hij	6	A	0, 2, 5
3	1	je	22	A	2, 18, 23
3	1	met	25	A	19, 41, 43
3	1	nummer	30	A	35, 48, 64
3	1	plaat	14	A	7, 19, 20
3	1	recht	20	A	9, 19, 28
3	1	staan	3	A	7, 8, 9
3	1	één	14	A	0, 3, 13
2	1	als	24	A	2, 25
2	1	ander	7	A	17, 23
2	1	daar	23	A	7, 29
2	1	doorboren	42	A	1, 42
2	1	even	6	A	23, 28
2	1	ik	18	A	6, 23
2	1	maar	3	A	9, 11
2	1	misschien	37	A	23, 59
2	1	moeilijk	3	A	58, 60
2	1	nee	28	A	17, 44
2	1	nu	24	A	0, 23
2	1	of	55	A	8, 62
2	1	ook	18	A	6, 23
2	1	op	63	A	0, 62
2	1	paal	9	A	20, 28
2	1	tegenaan	6	A	2, 7
2	1	van	16	A	3, 18
2	1	zien	12	A	12, 23

