ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
007008_and_069070_9_tsv	99.0	558.0	55.0	0.0985663082437276	0.44623655913978494	0.25675675675675674	0.770489110314788	1.2092198581560283	3.0
153154_and_039040_4_tsv	35.0	265.0	23.0	0.08679245283018867	0.3886792452830189	0.23333333333333334	0.9898359759179916	1.2989690721649485	3.0
pair22_and_pair18_08_tsv	39.0	248.0	24.0	0.0967741935483871	0.375	0.22105263157894736	1.2487639799480281	1.4395604395604396	4.0
131132_and_039040_1_tsv	22.0	93.0	12.0	0.12903225806451613	0.44086021505376344	0.3333333333333333	0.8023534428291901	1.2444444444444445	2.0
037038_and_099100_5_tsv	38.0	182.0	21.0	0.11538461538461539	0.3956043956043956	0.3230769230769231	0.910462976551278	1.2790697674418605	3.0
009010_and_021022_16_tsv	47.0	377.0	43.0	0.11405835543766578	0.38726790450928383	0.2743362831858407	1.2817247632493656	1.455128205128205	5.0
107108_and_143144_14_tsv	39.0	336.0	42.0	0.125	0.375	0.27692307692307694	0.6658949445108993	1.16	3.0
pair09_and_pair17_14_tsv	32.0	216.0	18.0	0.08333333333333333	0.25	0.14772727272727273	0.7162583911075449	1.1971830985915493	2.0
057058_and_107108_14_tsv	34.0	209.0	16.0	0.07655502392344497	0.2631578947368421	0.17721518987341772	0.7842791943639902	1.2542372881355932	4.0
pair15_and_pair17_15_tsv	31.0	172.0	19.0	0.11046511627906977	0.37209302325581395	0.23529411764705882	0.6133778969798926	1.1604938271604939	3.0
025026_and_011012_12_tsv	21.0	136.0	16.0	0.11764705882352941	0.40441176470588236	0.24193548387096775	0.8564052389131376	1.280701754385965	2.0
137138_and_069070_11_tsv	37.0	260.0	23.0	0.08846153846153847	0.24615384615384617	0.1956521739130435	1.2782038389853276	1.4827586206896552	3.0
pair05_and_pair12_03_tsv	26.0	129.0	9.0	0.06976744186046512	0.17054263565891473	0.14492753623188406	0.6051865766334206	1.1481481481481481	2.0
051052_and_097098_3_tsv	26.0	140.0	15.0	0.10714285714285714	0.3357142857142857	0.20634920634920634	0.5631028237513912	1.1320754716981132	2.0
097098_and_109110_4_tsv	23.0	113.0	11.0	0.09734513274336283	0.22123893805309736	0.16666666666666666	0.3033748360864139	1.054054054054054	2.0
pair15_and_pair17_01_tsv	23.0	137.0	11.0	0.08029197080291971	0.2846715328467153	0.2	0.9932696052487734	1.3125	3.0
039040_and_005006_15_tsv	30.0	215.0	20.0	0.09302325581395349	0.3023255813953488	0.1836734693877551	0.4689955935892812	1.1	2.0
pair07_and_pair20_05_tsv	35.0	334.0	19.0	0.05688622754491018	0.2275449101796407	0.13559322033898305	0.6991413063352632	1.1888888888888889	2.0
pair07_and_pair20_11_tsv	25.0	179.0	21.0	0.11731843575418995	0.3240223463687151	0.22077922077922077	1.1448025073660157	1.3770491803278688	4.0
107108_and_143144_6_tsv	28.0	137.0	14.0	0.10218978102189781	0.25547445255474455	0.17391304347826086	0.8315435491770659	1.2727272727272727	4.0
049050_and_005006_15_tsv	28.0	210.0	24.0	0.11428571428571428	0.32857142857142857	0.22093023255813954	0.7753978205945343	1.206896551724138	3.0
145146_and_041042_4_tsv	33.0	198.0	26.0	0.13131313131313133	0.35858585858585856	0.27631578947368424	0.956917887127128	1.2926829268292683	3.0
