Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	een bol bovenop	22	6	1	B	17, 22
8	8	2	aan de	6	31	3	A	0, 1, 2, 6, 10, 21, 23, 30
3	1	2	bol bovenop	27	11	1	B	17, 22, 27
2	2	2	de bol	30	4	1	B	27, 30
2	2	2	het kop	18	19	1	A	0, 18
12	12	1	ja	5	29	1	A	3, 5, 6, 7, 8, 10, 11, 16, 24, 26, 29, 31
11	4	1	de	6	33	3	A	0, 1, 2, 6, 10, 14, 21, 23, 27, 30, 32
10	10	1	en	6	32	2	A	1, 2, 6, 10, 18, 19, 23, 27, 30, 32
7	7	1	twee	14	32	3	A	2, 10, 12, 14, 23, 30, 33
6	5	1	een	17	23	2	A	0, 1, 17, 19, 21, 22
6	6	1	staaf	19	33	1	A	0, 19, 21, 27, 30, 32
5	1	1	bol	17	30	1	A	1, 17, 22, 27, 30
5	2	1	bovenop	22	16	2	B	17, 18, 22, 27, 32
3	3	1	van	13	31	1	A	0, 13, 30
3	3	1	zitten	14	15	2	A	0, 1, 14
2	2	1	rond	20	20	1	A	1, 20

