Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	die glijbaan fabriek	8	A	31, 38
2	3	met die glijbaan	22	A	1, 22
2	3	zo'n Henry Stofzuiger	2	A	40, 41
2	2	met dat	23	A	1, 23
2	2	met die	22	A	1, 22
6	1	ja	34	A	2, 3, 5, 23, 27, 35
5	1	die	38	A	1, 3, 22, 31, 38
4	1	o	36	A	0, 5, 22, 35
3	1	dat	23	A	1, 4, 23
3	1	fabriek	17	A	22, 31, 38
3	1	nee	40	A	5, 42, 44
2	1	een	21	A	2, 22
2	1	er	21	A	23, 43
2	1	hij	12	A	32, 43
2	1	ik	3	A	3, 5
2	1	je	3	A	40, 42
2	1	kennen	40	A	3, 42
2	1	lijken	42	A	2, 43
2	1	niet	3	A	42, 44
2	1	of	38	A	2, 39
2	1	wel	38	A	3, 40

